Final Name,Image Name,Image Source,Original Size (KB),Location,Area,ByteSSIM,Final Size (KB),Worst Size (KB),Worst SSIM,Worst Resolution,SSIM,Weighted Sum,Resolution Percentage
reduced_O1CN01MDxe981r4lx0SDEnQ_!!6000000005578-2-tps-336-336.png,O1CN01MDxe981r4lx0SDEnQ_!!6000000005578-2-tps-336-336.png,https://gw.alicdn.com/imgextra/i1/O1CN01MDxe981r4lx0SDEnQ_!!6000000005578-2-tps-336-336.png,75.5126953125,22.364963503649637,0.08261321668041163,0.11930764475582115,193.4521484375,70.7734375,1.0,20,1,0.20192086143623278,1.0
reduced_TB1YYQprCzqK1RjSZFHXXb3CpXa-105-105.png_.webp,TB1YYQprCzqK1RjSZFHXXb3CpXa-105-105.png_.webp,https://gw.alicdn.com/tfs/TB1YYQprCzqK1RjSZFHXXb3CpXa-105-105.png_.webp,1.9140625,30.94949494949495,0.009179246297823514,1.0,1.9140625,1.9140625,1.0,100,1,1.0091792462978235,100.0
reduced_TB1.8PcRND1gK0jSZFsXXbldVXa-84-84.png_.webp,TB1.8PcRND1gK0jSZFsXXbldVXa-84-84.png_.webp,https://gw.alicdn.com/tfs/TB1.8PcRND1gK0jSZFsXXbldVXa-84-84.png_.webp,1.310546875,1.328131772865193,0.01294417153716519,1.0,1.310546875,1.310546875,1.0,100,1,1.0129441715371652,100.0
reduced_TB1g8t.eiDsXe8jSZR0XXXK6FXa-88-88.png_.webp,TB1g8t.eiDsXe8jSZR0XXXK6FXa-88-88.png_.webp,https://gw.alicdn.com/tfs/TB1g8t.eiDsXe8jSZR0XXXK6FXa-88-88.png_.webp,2.6875,1.328131772865193,0.01294417153716519,1.0,2.6875,2.6875,1.0,100,1,1.0129441715371652,
TB1AHbtRRr0gK0jSZFnXXbRRXXa-148-148.png_.png,TB1AHbtRRr0gK0jSZFnXXbRRXXa-148-148.png_.webp,https://gw.alicdn.com/tfs/TB1AHbtRRr0gK0jSZFnXXbRRXXa-148-148.png_.webp,1.50390625,1.3275563258232235,0.046469934382731545,1.0,1.259765625,1.50390625,1.0,100,1,1.0464699343827315,
TB1lTP.rCzqK1RjSZFjXXblCFXa-1071-72.png_.webp,TB1lTP.rCzqK1RjSZFjXXblCFXa-1071-72.png_.webp,https://gw.alicdn.com/tfs/TB1lTP.rCzqK1RjSZFjXXblCFXa-1071-72.png_.webp,16.21875,54.714285714285715,0.07357739610599161,1.0,16.21875,16.21875,1.0,100,1,1.0735773961059916,
O1CN014foAT41FUSlw6McS7_!!6000000000490-2-tps-168-168.png,O1CN014foAT41FUSlw6McS7_!!6000000000490-2-tps-168-168.png,https://img.alicdn.com/imgextra/i4/O1CN014foAT41FUSlw6McS7_!!6000000000490-2-tps-168-168.png,13.9404296875,22.364963503649637,0.08261321668041163,1.0,13.9404296875,13.375,1.0,20,1,1.0826132166804117,
TB18z9JgfzO3e4jSZFxXXaP_FXa-168-168.png,TB18z9JgfzO3e4jSZFxXXaP_FXa-168-168.png,https://img.alicdn.com/tfs/TB18z9JgfzO3e4jSZFxXXaP_FXa-168-168.png,2.3525390625,22.364963503649637,0.08261321668041163,1.0,2.3525390625,2.3525390625,1.0,100,1,1.0826132166804117,
O1CN010hDZ4B1z1a5w9Zl4G_!!6000000006654-2-tps-168-168.png,O1CN010hDZ4B1z1a5w9Zl4G_!!6000000006654-2-tps-168-168.png,https://gw.alicdn.com/imgextra/i2/O1CN010hDZ4B1z1a5w9Zl4G_!!6000000006654-2-tps-168-168.png,7.0498046875,22.364963503649637,0.08261321668041163,1.0,7.0498046875,7.0498046875,1.0,100,1,1.0826132166804117,
TB1DlP.rCzqK1RjSZFjXXblCFXa-849-150.png,TB1DlP.rCzqK1RjSZFjXXblCFXa-849-150.png,https://gw.alicdn.com/tfs/TB1DlP.rCzqK1RjSZFjXXblCFXa-849-150.png,7.1787109375,61.28,0.11703539029724981,1.0,7.1787109375,7.1787109375,1.0,100,1,1.1170353902972499,
O1CN01azrs031GG5w6SNhBn_!!6000000000594-2-tps-168-168.png,O1CN01azrs031GG5w6SNhBn_!!6000000000594-2-tps-168-168.png,https://gw.alicdn.com/imgextra/i1/O1CN01azrs031GG5w6SNhBn_!!6000000000594-2-tps-168-168.png,11.62109375,22.364963503649637,0.08261321668041163,1.0451263537906137,11.62109375,11.080078125,1.0,80,1,1.1277395704710254,
