Final Name,Image Name,Image Source,Original Size (KB),Location,Area,ByteSSIM,Final Size (KB),Worst Size (KB),Worst SSIM,Worst Resolution,SSIM
new-nav-sprite-global-1x_blueheaven-account._CB658093875_.png,new-nav-sprite-global-1x_blueheaven-account._CB658093875_.png,https://m.media-amazon.com/images/G/31/gno/sprites/new-nav-sprite-global-1x_blueheaven-account._CB658093875_.png,10.236328125,0.43478260869565216,137500,0.0,10.236328125,10.236328125,1.0,100,1.0
110goaYwsDL._SX50_SY50_.jpg,110goaYwsDL._SX50_SY50_.jpg,https://m.media-amazon.com/images/I/110goaYwsDL._SX50_SY50_.jpg,0.998046875,0.0451505016722408,2500,0.0,1.025390625,1.025390625,1.0,100,1.0
11n0LdtsN7L._SX50_SY50_.jpg,11n0LdtsN7L._SX50_SY50_.jpg,https://m.media-amazon.com/images/I/11n0LdtsN7L._SX50_SY50_.jpg,1.1162109375,0.0451505016722408,2500,0.0,1.1162109375,1.1162109375,1.0,100,1.0
21Iwonkul+L._SX50_SY50_.png,21Iwonkul+L._SX50_SY50_.png,https://m.media-amazon.com/images/I/21Iwonkul+L._SX50_SY50_.png,1.2841796875,0.0451505016722408,2500,0.0,1.2841796875,1.2841796875,1.0,100,1.0
11luqHr9bsL._SX50_SY50_.jpg,11luqHr9bsL._SX50_SY50_.jpg,https://m.media-amazon.com/images/I/11luqHr9bsL._SX50_SY50_.jpg,1.4619140625,0.0451505016722408,2500,0.0,1.4443359375,1.4443359375,1.0,100,1.0
11S4r-bgNEL._SX50_SY50_.jpg,11S4r-bgNEL._SX50_SY50_.jpg,https://m.media-amazon.com/images/I/11S4r-bgNEL._SX50_SY50_.jpg,1.2451171875,0.0451505016722408,2500,0.0,1.2451171875,1.2451171875,1.0,100,1.0
31ICLWjUdHL._SX50_SY50_.png,31ICLWjUdHL._SX50_SY50_.png,https://m.media-amazon.com/images/I/31ICLWjUdHL._SX50_SY50_.png,1.01171875,0.0451505016722408,2500,0.0,1.01171875,1.01171875,1.0,100,1.0
312t+JcSoDL._SX50_SY50_.jpg,312t+JcSoDL._SX50_SY50_.jpg,https://m.media-amazon.com/images/I/312t+JcSoDL._SX50_SY50_.jpg,1.2080078125,0.0451505016722408,2500,0.0,1.2080078125,1.2080078125,1.0,100,1.0
21xXjwTSVIL._SX50_SY50_.png,21xXjwTSVIL._SX50_SY50_.png,https://m.media-amazon.com/images/I/21xXjwTSVIL._SX50_SY50_.png,1.126953125,0.0451505016722408,2500,0.0,1.126953125,1.126953125,1.0,100,1.0
11V7tDHLoyL._SX50_SY50_.jpg,11V7tDHLoyL._SX50_SY50_.jpg,https://m.media-amazon.com/images/I/11V7tDHLoyL._SX50_SY50_.jpg,0.98828125,0.0451505016722408,2500,0.0,0.98828125,0.98828125,1.0,100,1.0
118lbTsRMWL._SX50_SY50_.jpg,118lbTsRMWL._SX50_SY50_.jpg,https://m.media-amazon.com/images/I/118lbTsRMWL._SX50_SY50_.jpg,1.275390625,0.0451505016722408,2500,0.0,1.275390625,1.275390625,1.0,100,1.0
11Y884YgKnL._SX50_SY50_.jpg,11Y884YgKnL._SX50_SY50_.jpg,https://m.media-amazon.com/images/I/11Y884YgKnL._SX50_SY50_.jpg,1.314453125,0.0451505016722408,2500,0.0,1.314453125,1.314453125,1.0,100,1.0
"61pU4J0mO3L._SR412,360_.jpg","61pU4J0mO3L._SR412,360_.jpg","https://m.media-amazon.com/images/I/61pU4J0mO3L._SR412,360_.jpg",20.2568359375,0.0654562828475872,113400,0.0,20.2568359375,20.2568359375,1.0,100,1.0
"61h-efqrF+L._SR412,360_.jpg","61h-efqrF+L._SR412,360_.jpg","https://m.media-amazon.com/images/I/61h-efqrF+L._SR412,360_.jpg",17.1572265625,0.0654562828475872,113400,0.0,17.1572265625,17.1572265625,1.0,100,1.0
"61CcFya7rmL._SR412,360_.jpg","61CcFya7rmL._SR412,360_.jpg","https://m.media-amazon.com/images/I/61CcFya7rmL._SR412,360_.jpg",20.6953125,0.0654562828475872,113400,0.0,18.744140625,18.744140625,1.0,100,1.0
"61cOhOLmirL._SR412,360_.jpg","61cOhOLmirL._SR412,360_.jpg","https://m.media-amazon.com/images/I/61cOhOLmirL._SR412,360_.jpg",25.2138671875,0.0654562828475872,113400,0.0,21.052734375,21.052734375,1.0,100,1.0
"51dGnvIzZML._SR412,360_.jpg","51dGnvIzZML._SR412,360_.jpg","https://m.media-amazon.com/images/I/51dGnvIzZML._SR412,360_.jpg",16.775390625,0.0654562828475872,113400,0.0,16.775390625,16.775390625,1.0,100,1.0
"61Za8sfn7FL._SR412,360_.jpg","61Za8sfn7FL._SR412,360_.jpg","https://m.media-amazon.com/images/I/61Za8sfn7FL._SR412,360_.jpg",23.9013671875,0.0654562828475872,113400,0.0,23.9013671875,23.9013671875,1.0,100,1.0
"71YfAnPHEpL._SR412,360_.jpg","71YfAnPHEpL._SR412,360_.jpg","https://m.media-amazon.com/images/I/71YfAnPHEpL._SR412,360_.jpg",48.2724609375,0.0654562828475872,113400,0.0,48.2724609375,48.2724609375,1.0,100,1.0
11YgrZMCywL._SS70_.png,11YgrZMCywL._SS70_.png,https://m.media-amazon.com/images/I/11YgrZMCywL._SS70_.png,1.63671875,0.12087912087912088,3536,0.0,1.63671875,1.63671875,1.0,100,1.0
01MARS4bb1L._SS70_.png,01MARS4bb1L._SS70_.png,https://m.media-amazon.com/images/I/01MARS4bb1L._SS70_.png,1.4228515625,0.12087912087912088,3536,0.0,1.4228515625,1.4228515625,1.0,100,1.0
11yG-E4G3uL._SS70_.png,11yG-E4G3uL._SS70_.png,https://m.media-amazon.com/images/I/11yG-E4G3uL._SS70_.png,1.6083984375,0.14237935977066413,3536,0.0,1.6083984375,1.6083984375,1.0,100,1.0
01Uf1QVOf+L._SS70_.png,01Uf1QVOf+L._SS70_.png,https://m.media-amazon.com/images/I/01Uf1QVOf+L._SS70_.png,1.25390625,0.14237935977066413,3536,0.0,1.25390625,1.25390625,1.0,100,1.0
31ylQzip4ML._AC_SY220_.jpg,31ylQzip4ML._AC_SY220_.jpg,https://m.media-amazon.com/images/I/31ylQzip4ML._AC_SY220_.jpg,5.6083984375,0.19421882465360726,28820,0.0,5.6083984375,5.6083984375,1.0,100,1.0
41s0tEfjlrL._AC_SY220_.jpg,41s0tEfjlrL._AC_SY220_.jpg,https://m.media-amazon.com/images/I/41s0tEfjlrL._AC_SY220_.jpg,7.5341796875,0.43478260869565216,0,0.0,7.5341796875,7.5341796875,1.0,100,1.0
31F3wWUXapL._AC_SY220_.jpg,31F3wWUXapL._AC_SY220_.jpg,https://m.media-amazon.com/images/I/31F3wWUXapL._AC_SY220_.jpg,3.8974609375,0.43478260869565216,0,0.0,3.8974609375,3.8974609375,1.0,100,1.0
4188O416veS._AC_SY172_.jpg,4188O416veS._AC_SY172_.jpg,https://m.media-amazon.com/images/I/4188O416veS._AC_SY172_.jpg,8.3486328125,0.26755852842809363,4408,0.0,8.3486328125,8.3486328125,1.0,100,1.0
31ylQzip4ML._AC_SY172_.jpg,31ylQzip4ML._AC_SY172_.jpg,https://m.media-amazon.com/images/I/31ylQzip4ML._AC_SY172_.jpg,4.171875,0.2654085045389393,3952,0.0,4.171875,4.171875,1.0,100,1.0
41s0tEfjlrL._AC_SY172_.jpg,41s0tEfjlrL._AC_SY172_.jpg,https://m.media-amazon.com/images/I/41s0tEfjlrL._AC_SY172_.jpg,4.94921875,0.2654085045389393,3724,0.0,4.1162109375,4.1162109375,1.0,100,1.0
31F3wWUXapL._AC_SY172_.jpg,31F3wWUXapL._AC_SY172_.jpg,https://m.media-amazon.com/images/I/31F3wWUXapL._AC_SY172_.jpg,2.8759765625,0.2654085045389393,4560,0.0,2.8759765625,2.8759765625,1.0,100,1.0
"31t0jAW8FoL._SR420,420_.jpg","31t0jAW8FoL._SR420,420_.jpg","https://m.media-amazon.com/images/I/31t0jAW8FoL._SR420,420_.jpg",12.5390625,0.305303392259914,25921,0.0,12.5390625,12.5390625,1.0,100,1.0
"31E71zRxUCL._SR420,420_.jpg","31E71zRxUCL._SR420,420_.jpg","https://m.media-amazon.com/images/I/31E71zRxUCL._SR420,420_.jpg",10.9873046875,0.305303392259914,25921,0.0,10.9873046875,10.9873046875,1.0,100,1.0
"31BZoGXNQlL._SR420,420_.jpg","31BZoGXNQlL._SR420,420_.jpg","https://m.media-amazon.com/images/I/31BZoGXNQlL._SR420,420_.jpg",11.76171875,0.35021500238891545,25921,0.0,11.76171875,11.76171875,1.0,100,1.0
"31utcnt9VkL._SR420,420_.jpg","31utcnt9VkL._SR420,420_.jpg","https://m.media-amazon.com/images/I/31utcnt9VkL._SR420,420_.jpg",10.8896484375,0.35021500238891545,25921,0.0,10.8896484375,10.8896484375,1.0,100,1.0
"31TeNSgxqTL._SR540,200_.jpg","31TeNSgxqTL._SR540,200_.jpg","https://m.media-amazon.com/images/I/31TeNSgxqTL._SR540,200_.jpg",11.103515625,0.4149546106067845,9660,0.0,11.103515625,11.103515625,1.0,100,1.0
"61kICjLsEtL._SR540,200_.webp","61kICjLsEtL._SR540,200_.png","https://m.media-amazon.com/images/I/61kICjLsEtL._SR540,200_.png",94.5107421875,0.4149546106067845,9660,651.535367727716,84.44921875,19.693359375,0.9006103696245356,15,1.0
"61WRmzYztUL._SR540,200_.jpg","61WRmzYztUL._SR540,200_.jpg","https://m.media-amazon.com/images/I/61WRmzYztUL._SR540,200_.jpg",99.0107421875,0.4402771141901577,9660,984.4291166026022,99.0107421875,10.4296875,0.9100178436480981,30,1.0
"41qgKaQDJJL._SR540,200_.jpg","41qgKaQDJJL._SR540,200_.jpg","https://m.media-amazon.com/images/I/41qgKaQDJJL._SR540,200_.jpg",19.8544921875,0.4402771141901577,9660,0.0,19.8544921875,19.8544921875,1.0,100,1.0
"51kQACNBDZL._SR540,200_.webp","51kQACNBDZL._SR540,200_.png","https://m.media-amazon.com/images/I/51kQACNBDZL._SR540,200_.png",60.1884765625,0.4658385093167702,9660,536.3092389304517,52.841796875,6.736328125,0.9140319326925134,20,1.0
"51gIbIgEprL._SR540,200_.jpg","51gIbIgEprL._SR540,200_.jpg","https://m.media-amazon.com/images/I/51gIbIgEprL._SR540,200_.jpg",34.958984375,0.4658385093167702,9660,0.0,34.958984375,34.958984375,1.0,100,1.0
"41L75uxwezL._SR180,67_.jpg","41L75uxwezL._SR180,67_.jpg","https://m.media-amazon.com/images/I/41L75uxwezL._SR180,67_.jpg",5.2568359375,0.4913999044433827,9660,0.0,5.2568359375,5.2568359375,1.0,100,1.0
"41JScNOHEsL._SR180,67_.jpg","41JScNOHEsL._SR180,67_.jpg","https://m.media-amazon.com/images/I/41JScNOHEsL._SR180,67_.jpg",4.6123046875,0.4913999044433827,9660,0.0,4.6123046875,4.6123046875,1.0,100,1.0
"61+pJiC-hXL._SR140,140_.png","61+pJiC-hXL._SR140,140_.png","https://m.media-amazon.com/images/I/61+pJiC-hXL._SR140,140_.png",4.6083984375,0.5363115145723841,25921,0.0,4.1533203125,4.1533203125,1.0,100,1.0
"61-6X7pMaHL._SR140,140_.png","61-6X7pMaHL._SR140,140_.png","https://m.media-amazon.com/images/I/61-6X7pMaHL._SR140,140_.png",6.0615234375,0.5363115145723841,25921,0.0,6.0615234375,6.0615234375,1.0,100,1.0
"61dF-LU3HkL._SR140,140_.png","61dF-LU3HkL._SR140,140_.png","https://m.media-amazon.com/images/I/61dF-LU3HkL._SR140,140_.png",6.6220703125,0.5860009555661729,25921,0.0,6.6220703125,6.6220703125,1.0,100,1.0
"419g838TvYL._SR140,140_.jpg","419g838TvYL._SR140,140_.jpg","https://m.media-amazon.com/images/I/419g838TvYL._SR140,140_.jpg",5.001953125,0.5860009555661729,25921,0.0,4.341796875,4.341796875,1.0,100,1.0
"31pqdno8sUL._SR140,140_.jpg","31pqdno8sUL._SR140,140_.jpg","https://m.media-amazon.com/images/I/31pqdno8sUL._SR140,140_.jpg",2.5390625,0.65527950310559,25921,0.0,2.5390625,2.5390625,1.0,100,1.0
"41ZEUUOlRaL._SR140,140_.jpg","41ZEUUOlRaL._SR140,140_.jpg","https://m.media-amazon.com/images/I/41ZEUUOlRaL._SR140,140_.jpg",4.2470703125,0.65527950310559,25921,0.0,4.2470703125,4.2470703125,1.0,100,1.0
"31HoIOiqYhL._SR140,140_.jpg","31HoIOiqYhL._SR140,140_.jpg","https://m.media-amazon.com/images/I/31HoIOiqYhL._SR140,140_.jpg",3.6865234375,0.7049689440993789,25921,0.0,3.6865234375,3.6865234375,1.0,100,1.0
"31fJMiCF0JL._SR140,140_.jpg","31fJMiCF0JL._SR140,140_.jpg","https://m.media-amazon.com/images/I/31fJMiCF0JL._SR140,140_.jpg",3.4111328125,0.7049689440993789,25921,0.0,2.8974609375,2.8974609375,1.0,100,1.0
71JpUMx956L._AC_SS130_.jpg,71JpUMx956L._AC_SS130_.jpg,https://m.media-amazon.com/images/I/71JpUMx956L._AC_SS130_.jpg,7.412109375,0.7797419971333015,11025,0.0,7.412109375,7.412109375,1.0,100,1.0
51rUuEuFSjL._AC_SS130_.jpg,51rUuEuFSjL._AC_SS130_.jpg,https://m.media-amazon.com/images/I/51rUuEuFSjL._AC_SS130_.jpg,3.68359375,0.7797419971333015,11025,0.0,3.68359375,3.68359375,1.0,100,1.0
714qzqIipDL._AC_SS130_.jpg,714qzqIipDL._AC_SS130_.jpg,https://m.media-amazon.com/images/I/714qzqIipDL._AC_SS130_.jpg,2.4814453125,0.7797419971333015,11025,0.0,2.4814453125,2.4814453125,1.0,100,1.0
719ftXPN3RL._AC_SS130_.jpg,719ftXPN3RL._AC_SS130_.jpg,https://m.media-amazon.com/images/I/719ftXPN3RL._AC_SS130_.jpg,3.0419921875,0.8067367415193503,11025,0.0,3.0419921875,3.0419921875,1.0,100,1.0
615nYFL8CWL._AC_SS130_.jpg,615nYFL8CWL._AC_SS130_.jpg,https://m.media-amazon.com/images/I/615nYFL8CWL._AC_SS130_.jpg,5.4462890625,0.8067367415193503,11025,0.0,5.4462890625,5.4462890625,1.0,100,1.0
71D2zycFhdL._AC_SS130_.jpg,71D2zycFhdL._AC_SS130_.jpg,https://m.media-amazon.com/images/I/71D2zycFhdL._AC_SS130_.jpg,2.9580078125,0.8067367415193503,11025,0.0,2.9580078125,2.9580078125,1.0,100,1.0
51U9plU9xcL._AC_SS130_.jpg,51U9plU9xcL._AC_SS130_.jpg,https://m.media-amazon.com/images/I/51U9plU9xcL._AC_SS130_.jpg,3.6259765625,0.8337314859053989,11025,0.0,3.6259765625,3.6259765625,1.0,100,1.0
61H054UGTZL._AC_SS130_.jpg,61H054UGTZL._AC_SS130_.jpg,https://m.media-amazon.com/images/I/61H054UGTZL._AC_SS130_.jpg,6.6494140625,0.8337314859053989,11025,0.0,6.6494140625,6.6494140625,1.0,100,1.0
61N7WToJLJL._AC_SS130_.jpg,61N7WToJLJL._AC_SS130_.jpg,https://m.media-amazon.com/images/I/61N7WToJLJL._AC_SS130_.jpg,6.2431640625,0.8337314859053989,11025,0.0,6.2431640625,6.2431640625,1.0,100,1.0
"41Bylw9lmUL._SR140,140_.jpg","41Bylw9lmUL._SR140,140_.jpg","https://m.media-amazon.com/images/I/41Bylw9lmUL._SR140,140_.jpg",3.73828125,0.8858098423315814,25921,0.0,3.73828125,3.73828125,1.0,100,1.0
"61OHY0+5NpL._SR140,140_.jpg","61OHY0+5NpL._SR140,140_.jpg","https://m.media-amazon.com/images/I/61OHY0+5NpL._SR140,140_.jpg",2.4287109375,0.8858098423315814,25921,0.0,2.4287109375,2.4287109375,1.0,100,1.0
"317IFvsnNVL._SR140,140_.jpg","317IFvsnNVL._SR140,140_.jpg","https://m.media-amazon.com/images/I/317IFvsnNVL._SR140,140_.jpg",4.2119140625,0.9354992833253702,25921,0.0,4.2119140625,4.2119140625,1.0,100,1.0
"310Oq59mnlL._SR140,140_.jpg","310Oq59mnlL._SR140,140_.jpg","https://m.media-amazon.com/images/I/310Oq59mnlL._SR140,140_.jpg",2.939453125,0.9354992833253702,25921,0.0,2.939453125,2.939453125,1.0,100,1.0
"61Vd+DscUjL._SR350,350_.jpg","61Vd+DscUjL._SR350,350_.jpg","https://m.media-amazon.com/images/I/61Vd+DscUjL._SR350,350_.jpg",22.9580078125,1.004538939321548,108900,0.0,22.9580078125,22.9580078125,1.0,100,1.0
"41d23LjjqKL._SR140,140_.jpg","41d23LjjqKL._SR140,140_.jpg","https://m.media-amazon.com/images/I/41d23LjjqKL._SR140,140_.jpg",5.853515625,1.1027233635929288,25921,0.0,5.853515625,5.853515625,1.0,100,1.0
"31uZZ8VuGPL._SR140,140_.jpg","31uZZ8VuGPL._SR140,140_.jpg","https://m.media-amazon.com/images/I/31uZZ8VuGPL._SR140,140_.jpg",3.4697265625,1.1524128045867177,25921,0.0,3.4697265625,3.4697265625,1.0,100,1.0
"41yYTPkbJDL._SR140,140_.jpg","41yYTPkbJDL._SR140,140_.jpg","https://m.media-amazon.com/images/I/41yYTPkbJDL._SR140,140_.jpg",4.4677734375,1.1524128045867177,25921,0.0,4.4677734375,4.4677734375,1.0,100,1.0
"61tspI0m4NL._SR280,280_.jpg","61tspI0m4NL._SR280,280_.jpg","https://m.media-amazon.com/images/I/61tspI0m4NL._SR280,280_.jpg",26.6259765625,1.2171524128045867,25921,0.0,26.6259765625,26.6259765625,1.0,100,1.0
"51F2ypl3KwL._SR280,280_.jpg","51F2ypl3KwL._SR280,280_.jpg","https://m.media-amazon.com/images/I/51F2ypl3KwL._SR280,280_.jpg",10.556640625,1.2171524128045867,25921,0.0,10.556640625,10.556640625,1.0,100,1.0
"51d5eW-d9UL._SR280,280_.jpg","51d5eW-d9UL._SR280,280_.jpg","https://m.media-amazon.com/images/I/51d5eW-d9UL._SR280,280_.jpg",12.439453125,1.2668418537983754,25921,0.0,12.439453125,12.439453125,1.0,100,1.0
"51rcjoONR1L._SR280,280_.jpg","51rcjoONR1L._SR280,280_.jpg","https://m.media-amazon.com/images/I/51rcjoONR1L._SR280,280_.jpg",14.9609375,1.2668418537983754,25921,0.0,14.9609375,14.9609375,1.0,100,1.0
