,JS Source,JS NAME
0,https://s.pinimg.com/ct/lib/main.14eb2ef4.js,3f96fa702d2d0ff4091644685ebe16.js
1,https://web.btncdn.com/v1/button.js,25a648c5d8858d9ede8acb4c08a7bd.js
2,https://s.pinimg.com/ct/core.js,e62be24018ee4f2f92094f41392721.js
3,https://bat.bing.com/bat.js,89833995a4bb7f8fd6d331b66f9053.js
4,https://www.googletagmanager.com/gtag/js?id=G-KR3J610VYM&l=dataLayer&cx=c,
5,https://www.google-analytics.com/analytics.js,9eccf3e3143acfed72e7076d06dbc5.js
6,https://www.googletagmanager.com/gtm.js?id=GTM-KWW5SS,
7,https://www.googleadservices.com/pagead/conversion/658194373/?random=1687968172152&cv=11&fst=1687968172152&bg=ffffff&guid=ON&async=1&gtm=45He36q0&u_w=360&u_h=640&url=https%3A%2F%2Fwww.etsy.com%2F&label=XwNfCLSf5dkDEMX_7LkC&hn=www.googleadservices.com&frm=0&tiba=Etsy%20Pakistan%20-%20Shop%20for%20handmade%2C%20vintage%2C%20custom%2C%20and%20unique%20gifts%20for%20everyone&value=0&bttype=purchase&auid=992903339.1687968172&uaa=x86&uab=64&uafvl=Not_A%2520Brand%3B99.0.0.0%7CGoogle%2520Chrome%3B109.0.5414.119%7CChromium%3B109.0.5414.119&uamb=0&uap=Linux&uapv=5.15.0&uaw=0&rfmt=3&fmt=4,
8,https://googleads.g.doubleclick.net/pagead/viewthroughconversion/1001213127/?random=1687968172176&cv=11&fst=1687968172176&bg=ffffff&guid=ON&async=1&gtm=45He36q0&u_w=360&u_h=640&url=https%3A%2F%2Fwww.etsy.com%2F&hn=www.googleadservices.com&frm=0&tiba=Etsy%20Pakistan%20-%20Shop%20for%20handmade%2C%20vintage%2C%20custom%2C%20and%20unique%20gifts%20for%20everyone&auid=992903339.1687968172&uaa=x86&uab=64&uafvl=Not_A%2520Brand%3B99.0.0.0%7CGoogle%2520Chrome%3B109.0.5414.119%7CChromium%3B109.0.5414.119&uamb=0&uap=Linux&uapv=5.15.0&uaw=0&data=ecomm_prodid%3D%3Becomm_pagetype%3Dhome%3Becomm_totalvalue%3D%3Becomm_rec_prodid%3D%3Becomm_category%3D%3Becomm_pvalue%3D%3Becomm_quantity%3D%3Ba%3D%3Bg%3D%3Bhasaccount%3Dfalse%3Bcqs%3D%3Brp%3D%3Bly%3D%3Bhs%3D%3B_google_crm_id%3D&rfmt=3&fmt=4,
9,https://resources.xg4ken.com/js/v2/ktag.js?tid=KT-N3E88-3EB,
10,https://www.etsy.com/ac/primaryVendor/js/en-GB/async/common-entrypoints/auto/bootstrap/category-nav/v2/mobile/nav.91056761ec0e3cf528c0.js,
11,https://bat.bing.com/p/action/20013160.js,
12,https://www.etsy.com/ac/primaryVendor/js/en-GB/async/common-entrypoints/auto/app-shell/footer/deferred.2d705db83876d31a1cbc.js,
13,https://www.etsy.com/paula/v3/polyfill.min.js?etsy-v=v5&flags=gated&features=AbortController%2CDOMTokenList.prototype.@@iterator%2CDOMTokenList.prototype.forEach%2CIntersectionObserver%2CIntersectionObserverEntry%2CNodeList.prototype.@@iterator%2CNodeList.prototype.forEach%2CObject.preventExtensions%2CString.prototype.anchor%2CString.raw%2Cdefault%2Ces2015%2Ces2016%2Ces2017%2Ces2018%2Ces2019%2Ces2020%2Ces2021%2Ces2022%2Cfetch%2CgetComputedStyle%2CmatchMedia%2Cperformance.now,
14,https://www.etsy.com/ac/primaryVendor/js/en-GB/vendor_bundle.64cb8e52463392acd3b6.js,
15,https://www.etsy.com/ac/primaryVendor/js/en-GB/app-shell/globals/index.3bfca93bf9be7ed07d5c.js,
16,https://www.etsy.com/ac/primaryVendor/js/en-GB/footer/country-picker.3877b6830879054d92b3.js,
17,https://www.etsy.com/ac/primaryVendor/js/en-GB/vesta_homepage/bootstrap.d521f701bf2fa83e31f1.js,
18,https://www.dwin1.com/6220.js,4b68160ec2e42ababd7043469a3f8c.js
