Final Name,Image Name,Image Source,Original Size (KB),Location,Area,ByteSSIM,Final Size (KB),Worst Size (KB),Worst SSIM,Worst Resolution,SSIM,Weighted Sum,Resolution Percentage
reduced_ac86841f42a75cd0.png,ac86841f42a75cd0.png,https://m.360buyimg.com/babel/jfs/t1/53202/29/23281/117684/63b4149dF2beb8956/ac86841f42a75cd0.png,114.92578125,0.2235294117647059,0.16054108290906388,0.5487193028782676,213.9912109375,107.529296875,1.0,40,1.0,0.7092603857873315,1.0
reduced_0c0aed67c7ed0011.png,0c0aed67c7ed0011.png,https://img12.360buyimg.com/imagetools/jfs/t1/120455/21/32606/1186/63aa9fb8Fc7d267b1/0c0aed67c7ed0011.png,1.158203125,0.31491712707182323,0.0045152179568174215,1.0,1.455078125,1.158203125,1.0,100,1.0,1.0045152179568175,1.0
reduced_153c80981422c24b.jpg!q70.dpg,153c80981422c24b.jpg!q70.dpg,https://m.360buyimg.com/babel/jfs/t1/99078/3/26383/81626/649793eaF6145c4ca/153c80981422c24b.jpg!q70.dpg,97.7978515625,0.10667498440424206,0.08361514734847077,1.0,31.9140625,97.7978515625,1.0,100,0.9032620148276863,1.0836151473484708,11.0
reduced_2c7536ac3ddd3d07.jpg!q70.dpg,2c7536ac3ddd3d07.jpg!q70.dpg,https://m.360buyimg.com/babel/jfs/t1/107137/15/13155/156611/5e9d7c86E7c202d3a/2c7536ac3ddd3d07.jpg!q70.dpg,54.6689453125,0.08778234086242301,0.08361514734847077,1.0,11.09765625,54.6689453125,1.0,100,0.904563384732815,1.0836151473484708,4.0
reduced_affbe18b71aa5455.jpg!q70.dpg,affbe18b71aa5455.jpg!q70.dpg,https://m.360buyimg.com/babel/jfs/t1/91618/36/24441/77564/6336bb6aE68e46b39/affbe18b71aa5455.jpg!q70.dpg,67.6865234375,0.08778234086242301,0.08361514734847077,1.0,19.10546875,67.6865234375,1.0,100,0.9056586079544366,1.0836151473484708,6.0
reduced_d826b9c6f9de47d8.jpg!q70.dpg,d826b9c6f9de47d8.jpg!q70.dpg,https://m.360buyimg.com/babel/jfs/t1/59995/1/24616/232386/63f5833dFdc4bf70d/d826b9c6f9de47d8.jpg!q70.dpg,156.732421875,0.08778234086242301,0.08361514734847077,1.0,79.5361328125,156.732421875,1.0,100,0.9007647759187589,1.0836151473484708,23.0
reduced_5a7a310f121bf215.jpg!q70.dpg,5a7a310f121bf215.jpg!q70.dpg,https://m.360buyimg.com/babel/jfs/t1/97452/15/29533/79402/6497fc45Fe500ab9d/5a7a310f121bf215.jpg!q70.dpg,78.556640625,0.08778234086242301,0.08361514734847077,1.0,24.53515625,78.556640625,1.0,100,0.9015903253921586,1.0836151473484708,10.0
reduced_140bb2f365737a19.jpg!q70.dpg,140bb2f365737a19.jpg!q70.dpg,https://m.360buyimg.com/babel/jfs/t1/145458/39/36546/66155/6497e2b2Fbac30122/140bb2f365737a19.jpg!q70.dpg,88.0078125,0.08778234086242301,0.08361514734847077,1.0,22.2158203125,88.0078125,1.0,100,0.9014598339908235,1.0836151473484708,7.0
reduced_5f65e1aae5850865.jpg!q70.dpg,5f65e1aae5850865.jpg!q70.dpg,https://m.360buyimg.com/babel/jfs/t1/137810/28/39315/97569/649b84e5Fb20f29de/5f65e1aae5850865.jpg!q70.dpg,98.173828125,0.07457479284779765,0.08361514734847077,1.0,31.76953125,98.173828125,1.0,100,0.9042935737231143,1.0836151473484708,12.0
reduced_621723c5811efb61.jpg!q70.dpg,621723c5811efb61.jpg!q70.dpg,https://m.360buyimg.com/babel/jfs/t1/203344/20/37760/99151/6492814cFfd2d02c7/621723c5811efb61.jpg!q70.dpg,83.099609375,0.07457479284779765,0.08361514734847077,1.0,20.7041015625,83.099609375,1.0,100,0.9035825775876197,1.0836151473484708,10.0
