Final Name,Image Name,Image Source,Original Size (KB),Location,Area,ByteSSIM,Final Size (KB),Worst Size (KB),Worst SSIM,Worst Resolution,SSIM,Weighted Sum,Resolution Percentage
reduced_D86404.jpg,D86404.jpg,https://r.mradx.net/pictures/72/D86404.jpg,2.4287109375,0.006294256490952007,0.0,1.0,0.9814453125,2.4287109375,1.0,100,0.9020267788864182,1.0,24.0
reduced_4080E8.jpg,4080E8.jpg,https://r.mradx.net/pictures/F4/4080E8.jpg,7.7763671875,0.006294256490952007,0.0,1.0,2.671875,7.7763671875,1.0,100,0.9017520654192186,1.0,24.0
reduced_social__icon_for_mail@2x.png.61d275985a18ef2e1f6c8c2eeca0307b5867e149.png,social__icon_for_mail@2x.png.61d275985a18ef2e1f6c8c2eeca0307b5867e149.png,https://limg.imgsmail.ru/msplash/v/i/social__icon_for_mail@2x.png.61d275985a18ef2e1f6c8c2eeca0307b5867e149.png,0.3193359375,0.19047619047619047,0.10761366693570083,1.0,0.564453125,0.3193359375,1.0,100,1.0,1.1076136669357008,1.0
reduced_social__icon_for_my@2x.png.abf7ad86a61efada762d81b8f4f760d42fe4c94a.png,social__icon_for_my@2x.png.abf7ad86a61efada762d81b8f4f760d42fe4c94a.png,https://limg.imgsmail.ru/msplash/v/i/social__icon_for_my@2x.png.abf7ad86a61efada762d81b8f4f760d42fe4c94a.png,0.34765625,0.1,0.10761366693570083,1.0,0.5673828125,0.34765625,1.0,100,1.0,1.1076136669357008,1.0
reduced_list__item_icon_money@2x.png.db714a81c1a84ec78a29433bb3ce90371b2f6f2f.png,list__item_icon_money@2x.png.db714a81c1a84ec78a29433bb3ce90371b2f6f2f.png,https://limg.imgsmail.ru/msplash/v/i/list__item_icon_money@2x.png.db714a81c1a84ec78a29433bb3ce90371b2f6f2f.png,1.6376953125,0.004545454545454546,0.3099273607748184,1.0,6.37890625,1.6376953125,1.0,100,1.0,1.3099273607748185,1.0
reduced_list__item_icon_horo@2x.png.b4bb0e9b02991e2a288bd8767d1c1c7d382da299.png,list__item_icon_horo@2x.png.b4bb0e9b02991e2a288bd8767d1c1c7d382da299.png,https://limg.imgsmail.ru/msplash/v/i/list__item_icon_horo@2x.png.b4bb0e9b02991e2a288bd8767d1c1c7d382da299.png,1.794921875,0.004632310364794442,0.3099273607748184,1.0,7.0849609375,1.794921875,1.0,100,1.0,1.3099273607748185,1.0
reduced_list__item_icon_health@2x.png.8f31f9257dff184d8d717e2e58c9ff0509c4972a.png,list__item_icon_health@2x.png.8f31f9257dff184d8d717e2e58c9ff0509c4972a.png,https://limg.imgsmail.ru/msplash/v/i/list__item_icon_health@2x.png.8f31f9257dff184d8d717e2e58c9ff0509c4972a.png,1.1728515625,0.004632310364794442,0.3099273607748184,1.0,2.6953125,1.1728515625,1.0,100,1.0,1.3099273607748185,1.0
reduced_list__item_icon_auto@2x.png.d775be47145ebfc0d193b3d490c8f5e5a1b01384.png,list__item_icon_auto@2x.png.d775be47145ebfc0d193b3d490c8f5e5a1b01384.png,https://limg.imgsmail.ru/msplash/v/i/list__item_icon_auto@2x.png.d775be47145ebfc0d193b3d490c8f5e5a1b01384.png,1.6259765625,0.004725339633786178,0.3099273607748184,1.0,2.8291015625,1.6259765625,1.0,100,1.0,1.3099273607748185,1.0
reduced_list__item_icon_tv@2x.png.f56a81c9ba78f318b0cd002ea47d05b5a2e1e18d.png,list__item_icon_tv@2x.png.f56a81c9ba78f318b0cd002ea47d05b5a2e1e18d.png,https://limg.imgsmail.ru/msplash/v/i/list__item_icon_tv@2x.png.f56a81c9ba78f318b0cd002ea47d05b5a2e1e18d.png,0.861328125,0.004725339633786178,0.3099273607748184,1.0,1.306640625,0.861328125,1.0,100,1.0,1.3099273607748185,1.0
reduced_list__item_icon_otvet@2x.png.3b55227de7e1e4fcf23aa2f984e2c7dbc710b450.png,list__item_icon_otvet@2x.png.3b55227de7e1e4fcf23aa2f984e2c7dbc710b450.png,https://limg.imgsmail.ru/msplash/v/i/list__item_icon_otvet@2x.png.3b55227de7e1e4fcf23aa2f984e2c7dbc710b450.png,2.462890625,0.004819277108433735,0.3099273607748184,1.0,2.845703125,2.462890625,1.0,100,1.0,1.3099273607748185,1.0
