Final Name,Image Name,Image Source,Original Size (KB),Location,Area,ByteSSIM,Final Size (KB),Worst Size (KB),Worst SSIM,Worst Resolution,SSIM
7430f15c1224a9357a77c6990108affa.jpeg,7430f15c1224a9357a77c6990108affa.jpeg,https://i.pinimg.com/236x/a5/b0/ce/a5b0ceba4ae81ba34dbf41ffd884a9ac.jpg,9.677734375,-0.0875,18592,0.0,9.677734375,9.677734375,1.0,100,1
0a53baf32c0f222fc79ae679f39a7b0a.jpeg,0a53baf32c0f222fc79ae679f39a7b0a.jpeg,https://i.pinimg.com/564x/3f/05/2c/3f052c9b0f402d3373b9e0916c53bac7.jpg,42.98828125,0.178125,18592,0.0,42.98828125,42.98828125,1.0,100,1
61f730e433ebcf8c2e191bd7b7c3a3c1.jpeg,61f730e433ebcf8c2e191bd7b7c3a3c1.jpeg,https://i.pinimg.com/564x/c4/57/bd/c457bd9496170bfa3845b7cee775df65.jpg,30.7900390625,0.4453125,18592,0.0,30.7900390625,30.7900390625,1.0,100,1
04029d621fbea1eba34f0e8a270f1612.jpeg,04029d621fbea1eba34f0e8a270f1612.jpeg,https://i.pinimg.com/564x/b8/ac/51/b8ac51e8e5d9de70114f431574907072.jpg,47.6279296875,0.7109375,18592,0.0,47.6279296875,47.6279296875,1.0,100,1
91fd2e7dec4dcffb63d3f4518970abfc.jpeg,91fd2e7dec4dcffb63d3f4518970abfc.jpeg,https://i.pinimg.com/564x/9c/d6/ce/9cd6cec47f51fdff61814fc051f48413.jpg,22.1591796875,0.978125,18592,0.0,22.1591796875,22.1591796875,1.0,100,1
97237ca333f9dba0f1d0b473ca227a32.jpeg,97237ca333f9dba0f1d0b473ca227a32.jpeg,https://i.pinimg.com/564x/a9/54/f2/a954f2267bfac86219ebd106c9945cb6.jpg,47.1064453125,-0.0875,18592,0.0,47.1064453125,47.1064453125,1.0,100,1
810dfc6b685be00bbe6d266ba0a60dfa.jpeg,810dfc6b685be00bbe6d266ba0a60dfa.jpeg,https://i.pinimg.com/236x/98/3f/95/983f95e1f032351eba6cb47a03efebe3.jpg,10.7255859375,0.178125,18592,0.0,10.7255859375,10.7255859375,1.0,100,1
5b5350b3e0b3d9ead1c09b8e122d6d66.jpeg,5b5350b3e0b3d9ead1c09b8e122d6d66.jpeg,https://i.pinimg.com/236x/2b/c9/69/2bc96970f7ce2ffdec36eae24792bf28.jpg,9.8271484375,0.4453125,18592,0.0,9.8271484375,9.8271484375,1.0,100,1
e79932ab16d5276e68af731f7cef00a4.jpeg,e79932ab16d5276e68af731f7cef00a4.jpeg,https://i.pinimg.com/236x/3f/c7/bb/3fc7bbd12946c37021896a8e90d842a2.jpg,7.4375,0.7109375,18592,0.0,7.4375,7.4375,1.0,100,1
89a160fd157dae597ed9382bddfe49fc.jpeg,89a160fd157dae597ed9382bddfe49fc.jpeg,https://i.pinimg.com/564x/d7/80/50/d78050127adffd498add0b94ae0e878c.jpg,74.1982421875,0.978125,18592,0.0,74.1982421875,74.1982421875,1.0,100,1
02404dbef7cd6595905c58a6929a079c.jpeg,02404dbef7cd6595905c58a6929a079c.jpeg,https://i.pinimg.com/236x/ed/46/0f/ed460f770ac1ef4b1a534bfd14131be0.jpg,9.6943359375,-0.0875,18592,0.0,9.6943359375,9.6943359375,1.0,100,1
29f9e4623aa65ed15695690b74cbffd5.jpeg,29f9e4623aa65ed15695690b74cbffd5.jpeg,https://i.pinimg.com/564x/a9/f9/09/a9f90926afdfbff79f6d2a017c8e19dd.jpg,106.025390625,0.178125,18592,0.0,106.025390625,106.025390625,1.0,100,1
3ce5ad65f6a9ec4605120b2bdaae3cc7.jpeg,3ce5ad65f6a9ec4605120b2bdaae3cc7.jpeg,https://i.pinimg.com/564x/a1/10/e1/a110e1bc0897daf7fb10ee75c0d25639.jpg,79.1806640625,0.4453125,18592,0.0,79.1806640625,79.1806640625,1.0,100,1
93c034e4f3a3f0cab0fa3f5e61734755.jpeg,93c034e4f3a3f0cab0fa3f5e61734755.jpeg,https://i.pinimg.com/564x/7c/4f/39/7c4f3961236c4914b25a7ec06f8e08e2.jpg,19.884765625,0.7109375,18592,0.0,19.884765625,19.884765625,1.0,100,1
aeab42e1f676805c3b9c33cf8811f161.jpeg,aeab42e1f676805c3b9c33cf8811f161.jpeg,https://i.pinimg.com/236x/c5/83/34/c58334bf5db29c3e531e8c6b7cee9ba4.jpg,5.3935546875,0.978125,18592,0.0,5.3935546875,5.3935546875,1.0,100,1
42e0f4e996126c9e255a17e562ece373.png,42e0f4e996126c9e255a17e562ece373.png,https://s.pinimg.com/webapp/topRight-d0230035.png,320.669921875,1.0640625,9309,9254882812.5,320.669921875,311.4150390625,1.0,40,1
2cac8f440b48069ac65e94d598eeedd6.png,2cac8f440b48069ac65e94d598eeedd6.png,https://s.pinimg.com/webapp/left-511a9304.png,433.3740234375,1.178125,13900,6955078125.0,433.3740234375,426.4189453125,1.0,40,1
15211bf66d7831c89551132d1025f25f.png,15211bf66d7831c89551132d1025f25f.png,https://s.pinimg.com/webapp/right-88044782.png,342.1953125,1.3109375,10080,2363281250.0,342.1953125,339.83203125,1.0,40,1
c49022ed27b4f97c2a41ef61fe9ff3ca.png,c49022ed27b4f97c2a41ef61fe9ff3ca.png,https://s.pinimg.com/webapp/center-77497603.png,828.8427734375,1.1265625,32558,16494140624.999998,828.8427734375,812.3486328125,1.0,40,1
273e9579c87bffd6ebb8d2cd7ee78829.png,273e9579c87bffd6ebb8d2cd7ee78829.png,https://s.pinimg.com/webapp/future-home-vibes-55a673b9.png,900.5556640625,2.0984375,42411,1875000000.0,900.5556640625,898.6806640625,1.0,70,1
