,JS Source,JS NAME
0,https://ads.pubmatic.com/AdServer/js/userSync.js,bf00f30198d3b8a9b8328e2cd0dc21.js
1,https://static.criteo.net/js/ld/publishertag.prebid.132.js,3340303c5a40aaeb423231885cd237.js
2,https://www.googletagmanager.com/gtag/js?id=G-FYJCTGV1LV&l=dataLayer&cx=c,
3,https://www.googletagmanager.com/gtag/js?id=G-DFP7BBGFWN&l=dataLayer&cx=c,
4,https://www.google-analytics.com/analytics.js,8c2fddb86666e8ba55e581140324e2.js
5,https://securepubads.g.doubleclick.net/pagead/managed/js/gpt/m202306260101/pubads_impl_page_level_ads.js?cb=31075685,
6,https://sb.scorecardresearch.com/beacon.js,74d454f293e2ac5d7a3910b422b811.js
7,https://connect.facebook.net/id_ID/sdk.js?hash=69170949cea24115ca8d162b42da5556,
8,https://www.youtube.com/s/player/71547d26/www-widgetapi.vflset/www-widgetapi.js,
9,https://www.googletagmanager.com/gtm.js?id=GTM-NNJ5M3B,
10,https://asset-1.tstatic.net/js/jquery/jquery-1.12.0.min.js,
11,https://securepubads.g.doubleclick.net/tag/js/gpt.js,42cf1b2235df50751020168d8be13c.js
12,https://asset-3.tstatic.net/ads/prebid/prebid7.31.0-22052023.js,
13,https://delivery.r2b2.io/hb/kompasGramedia/tribunnews.com_mobile,904f41478b7e208d327cd9bfc46e88.js
14,https://securepubads.g.doubleclick.net/pagead/managed/js/gpt/m202306260101/pubads_impl.js?cb=31075685,
15,https://accounts.google.com/gsi/client,edf53a33d81a30b5a3798477abb1e6.js
16,https://adservice.google.com/adsid/integrator.js?domain=m.tribunnews.com,
17,https://cdn.prod.uidapi.com/uid2SecureSignal.js,0a7fb7da68ed9be6f1029158769761.js
18,https://static.criteo.net/js/ld/publishertag.standalone.js,b4b04802f2e3f8d8ccc585c99eebe7.js
19,https://adservice.google.com/adsid/integrator.js?domain=m.tribunnews.com,
20,https://adservice.google.com/adsid/integrator.js?domain=m.tribunnews.com,
21,https://connect.facebook.net/id_ID/sdk.js#xfbml=1&version=v6.0&appId=114488588566911&autoLogAppEvents=1,
22,https://s.ytimg.com/yts/jsbin/www-widgetapi-vflS50iB-/www-widgetapi.js,a7dc1e1938c9389709e26f5d296faf.js
23,https://www.youtube.com/player_api,9093be17cb9e3a1bf700f1e48f5349.js
24,https://www.gstatic.com/firebasejs/5.5.6/firebase-app.js,8a59a842a10cb1a50732dcf102f704.js
25,https://www.gstatic.com/firebasejs/5.5.6/firebase-messaging.js,cd59381717c159a2b89d93964871c9.js
26,https://asset-1.tstatic.net/js/kgnotif_tribun.js,
27,https://asset-1.tstatic.net/js/kgmedia/tribunnews/sso_g_signin.min-1.3.js,
28,https://asset.kompas.com/data/2021/sso/js/extender.min.js,3a8861528123eccb2181f91a4be058.js
29,https://asset-1.tstatic.net/js/kgmedia/tribunnews/ssouser.min-1.0.js,
30,https://unpkg.com/web-vitals@1.1.1/dist/web-vitals.umd.js,34278647a0543c78b129a5649ab97d.js
31,https://scripts.jixie.media/jxpublisher_3_1.min.js,846aef169d53aa4f3c78acf9cc226d.js
