Final Name,Image Name,Image Source,Original Size (KB),Location,Area,ByteSSIM,Final Size (KB),Worst Size (KB),Worst SSIM,Worst Resolution,SSIM
yahoo_homepage_en-US_s_f_p_bestfit_homepage.png,yahoo_homepage_en-US_s_f_p_bestfit_homepage.png,https://s.yimg.com/rz/p/yahoo_homepage_en-US_s_f_p_bestfit_homepage.png,4.59375,0.5015623191760213,2088,1084960937.5,4.59375,3.5087890625,1.0,0,1
yahoo_homepage_en-US_s_f_w_bestfit_homepage.png,yahoo_homepage_en-US_s_f_w_bestfit_homepage.png,https://s.yimg.com/rz/p/yahoo_homepage_en-US_s_f_w_bestfit_homepage.png,3.255859375,0.499942136326814,2088,728515625.0,3.255859375,2.52734375,1.0,10,1
default_user_profile_pic_64sq.jpg,default_user_profile_pic_64sq.jpg,https://s.yimg.com/ag/images/default_user_profile_pic_64sq.jpg,1.16015625,0.5012151371369055,1024,8.08690155959103,1.16015625,0.3720703125,0.9025478507815724,20,1
yahoo.png,yahoo.png,https://s.yimg.com/rz/p/yahoo.png,6.796875,0.499942136326814,0,3114257812.5,6.796875,3.6826171875,1.0,10,1
circle_news_purple.png,circle_news_purple.png,https://s.yimg.com/cv/apiv2/ae/news/circle_news_purple.png,2.16796875,0.499942136326814,0,599609375.0,2.16796875,1.568359375,1.0,10,1
5f94c830-15a4-11ee-bf96-1b81fffd3c68.cf.webp,5f94c830-15a4-11ee-bf96-1b81fffd3c68.cf.webp,https://s.yimg.com/uu/api/res/1.2/3XOojWpEMdU.NriaVCNxwA--~B/Zmk9c3RyaW07aD00MzI7cT04MDt3PTc2ODthcHBpZD15dGFjaHlvbg--/https://s.yimg.com/os/creatr-uploaded-images/2023-06/5f94c830-15a4-11ee-bf96-1b81fffd3c68.cf.webp,66.28125,0.010762643212591134,100912,0.0,66.28125,66.28125,1.0,100,1
8c5826c0-1548-11ee-b7df-f9ef6e61ee9b.cf.webp,8c5826c0-1548-11ee-b7df-f9ef6e61ee9b.cf.webp,https://s.yimg.com/uu/api/res/1.2/BfjOWJyDxlgGKTPWZV0iQA--~B/Zmk9c3RyaW07aD00MzI7cT04MDt3PTc2ODthcHBpZD15dGFjaHlvbg--/https://s.yimg.com/os/creatr-uploaded-images/2023-06/8c5826c0-1548-11ee-b7df-f9ef6e61ee9b.cf.webp,74.9453125,0.010762643212591134,0,0.0,74.9453125,74.9453125,1.0,100,1
2b71d930-1581-11ee-a9f5-4ec03601fbb7.cf.webp,2b71d930-1581-11ee-a9f5-4ec03601fbb7.cf.webp,https://s.yimg.com/uu/api/res/1.2/oU0QZLoGVg0hIdEPdeNsmQ--~B/Zmk9c3RyaW07aD00MzI7cT04MDt3PTc2ODthcHBpZD15dGFjaHlvbg--/https://s.yimg.com/os/creatr-uploaded-images/2023-06/2b71d930-1581-11ee-a9f5-4ec03601fbb7.cf.webp,63.63671875,0.010762643212591134,0,0.0,63.63671875,63.63671875,1.0,100,1
900dcf00-1538-11ee-975d-b02d0a055add.cf.webp,900dcf00-1538-11ee-975d-b02d0a055add.cf.webp,https://s.yimg.com/uu/api/res/1.2/xO5Ps5gga9yPg7MzweZzxw--~B/Zmk9c3RyaW07aD00MzI7cT04MDt3PTc2ODthcHBpZD15dGFjaHlvbg--/https://s.yimg.com/os/creatr-uploaded-images/2023-06/900dcf00-1538-11ee-975d-b02d0a055add.cf.webp,75.1103515625,0.010762643212591134,0,0.0,75.1103515625,75.1103515625,1.0,100,1
f53467a0-15aa-11ee-8ebb-8330264319ce.cf.webp,f53467a0-15aa-11ee-8ebb-8330264319ce.cf.webp,https://s.yimg.com/uu/api/res/1.2/lUens_10Jj3AljmhXEjgyQ--~B/Zmk9c3RyaW07aD00MzI7cT04MDt3PTc2ODthcHBpZD15dGFjaHlvbg--/https://s.yimg.com/os/creatr-uploaded-images/2023-06/f53467a0-15aa-11ee-8ebb-8330264319ce.cf.webp,47.572265625,0.010762643212591134,0,0.0,47.572265625,47.572265625,1.0,100,1
4796b560-1520-11ee-bdfd-838a81cbe1e4.cf.webp,4796b560-1520-11ee-bdfd-838a81cbe1e4.cf.webp,https://s.yimg.com/uu/api/res/1.2/DWS_6OicvGFW8aBQHoG63Q--~B/Zmk9c3RyaW07aD00MzI7cT04MDt3PTc2ODthcHBpZD15dGFjaHlvbg--/https://s.yimg.com/os/creatr-uploaded-images/2023-06/4796b560-1520-11ee-bdfd-838a81cbe1e4.cf.webp,82.765625,0.010762643212591134,0,0.0,82.765625,82.765625,1.0,100,1
b6a327b390422789ef4e0a818e42619d.cf.webp,b6a327b390422789ef4e0a818e42619d.cf.webp,https://s.yimg.com/uu/api/res/1.2/PMKWTnj7mezHoBbOsVz4jQ--~B/Zmk9c3RyaW07aD00MzI7cT04MDt3PTc2ODthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/nbc_news_122/b6a327b390422789ef4e0a818e42619d.cf.webp,36.9873046875,0.010762643212591134,0,0.0,36.9873046875,36.9873046875,1.0,100,1
