,JS Source,JS NAME
0,https://c.amazon-adsystem.com/bao-csm/forensics/a9-tq-forensics.min.js,
1,https://images-eu.ssl-images-amazon.com/images/I/31QnjtRelOL.js,
2,https://images-eu.ssl-images-amazon.com/images/I/21-CjD02e0L.js?AUIClients/GWMMetricsJS,
3,https://images-eu.ssl-images-amazon.com/images/I/01rGP6HIADL.js?AUIClients/GenericObservableJS,
4,https://images-eu.ssl-images-amazon.com/images/S/apesafeframe/ape/sf/mobile/MAsf-1.50.429d7d2.js?csm_attribution=APE-SafeFrame,
5,https://images-eu.ssl-images-amazon.com/images/I/01unwL4FKvL.js?xcp,
6,https://images-eu.ssl-images-amazon.com/images/I/11OdzFF1R7L.js?xcp,
7,https://images-eu.ssl-images-amazon.com/images/I/31WU9MeImuL.js?AUIClients/AmazonGatewayHerotatorJS&bnq0N69d#mobile.684386-T1.434090-T1,
8,"https://images-eu.ssl-images-amazon.com/images/I/41N42JbjIKL._RC%7C11y85pohsPL.js,11pr4GgeQHL.js_.js?AUIClients/GWMWebAssets&3GKtMe4d#542814-T1",
9,https://m.media-amazon.com/images/I/61ZS63EQSsL.js?AUIClients/AmazonUIjQuery,
10,"https://m.media-amazon.com/images/I/11Y+5x+kkTL._RC%7C51Am7NcREVL.js,11yKORv-GTL.js,11GgN1+C7hL.js,31aYV8Ve4wL.js,01VRMV3FBdL.js,21SDJtBU-PL.js,01E8f3KV-NL.js,11rRjDLdAVL.js,516j7qaWchL.js,11UdUjBLtPL.js,11tMohjWmVL.js,11OREnu1epL.js,11wcWdhrnDL.js,21ssiLNIZvL.js,0190vxtlzcL.js,61KJnVMUbNL.js,01JYHc2oIlL.js,31-MbZeXPYL.js,41tz3vSEMcL.js,11bEz2VIYrL.js,31dreCHeIuL.js,01qkmZhGmAL.js,01NhIBhKTRL.js_.js?AUIClients/AmazonUI#mobile",
11,https://m.media-amazon.com/images/I/51EIwpasq4L.js?AUIClients/CardJsRuntimeBuzzCopyBuild,
12,https://images-eu.ssl-images-amazon.com/images/I/41X+pNHyLAL._RC%7C41eUIgci2IL.js_.js?AUIClients/NavMobileAssets-all&HJyIfMV2#387764-T1,
13,https://images-eu.ssl-images-amazon.com/images/I/01+pnQJuQ0L._RC%7C01CMyuQ8OQL.js_.js?AUIClients/InternationalCustomerPreferencesNavMobileAssets,
14,https://images-eu.ssl-images-amazon.com/images/I/317BC63dC8L.js?AUIClients/GlowToasterAssets,
15,"https://images-eu.ssl-images-amazon.com/images/I/01CMfWXyHeL._RC%7C01phmzCOwJL.js,01eOvPdxG7L.js,71VEl1LpBiL.js_.js?AUIClients/RetailSearchAutocompleteAssets&MlClyAaa#mobile.language-en.in.472106-C.651011-T3",
16,https://images-eu.ssl-images-amazon.com/images/I/41a4pw98UlL.js?AUIClients/AmazonWebAppAssets&fOHnl2F/#in.333980-T1,
17,https://images-eu.ssl-images-amazon.com/images/I/81wv+tonE1L.js?AUIClients/AmazonMWebVoiceSearchAssets,
18,https://images-eu.ssl-images-amazon.com/images/I/21+WC0ZRekL.js?xcp,
19,https://images-eu.ssl-images-amazon.com/images/I/015wP57mW9L.js?xcp,
20,"https://m.media-amazon.com/images/I/711vApw10VL._RC%7C3196mvupl6L.js,11HrgbepioL.js,01+JI9-yUiL.js,417a2UqOAuL.js_.js?AUIClients/QTipsMobileWebAssets&IoacAZ9S#mobile.in.522671-T1.285329-T1",
21,https://m.media-amazon.com/images/I/01LFiHt-uUL.js?AUIClients/TMCJavascriptAssets,
