,JS Source,JS NAME
0,https://analytics.tiktok.com/i18n/pixel/static/main.MTExNWE3NjU4MA.js,
1,https://snap.licdn.com/li.lms-analytics/insight.beta.min.js,
2,https://www.google-analytics.com/analytics.js,
3,https://analytics.tiktok.com/i18n/pixel/events.js?sdkid=C9PUBU3C77U007IT7KUG&lib=ttq,
4,https://d2qmp7jjpd79k7.cloudfront.net/pixel/755/1639409650528/script.js,
5,https://aiq-in.dell.com/aiq/dell-prod.js,
6,https://www.googletagmanager.com/gtag/js?id=G-1234567890&l=dataLayer&cx=c,
7,https://www.googletagmanager.com/gtag/js?id=G-5932KMEGPX&l=dataLayer&cx=c,
8,https://www.googletagmanager.com/gtag/js?id=UA-208533932-1&l=dataLayer&cx=c,
9,https://www.googletagmanager.com/gtag/js?id=DC-9632648&l=dataLayer&cx=c,
10,https://www.googletagmanager.com/gtag/js?id=DC-9632921&l=dataLayer&cx=c,
11,https://snap.licdn.com/li.lms-analytics/insight.min.js,
12,https://connect.facebook.net/signals/config/641890776746393?v=2.9.111&r=stable,
13,https://connect.facebook.net/en_US/fbevents.js,
14,https://nexus.dell.com/dell/marketing/code/bf1f6aa9c3b7a54f0b2ccdb81747c3de.js?conditionId0=4949629,
15,https://nexus.dell.com/dell/marketing/code/48b67234fb5500c480412390c4620977.js?conditionId0=4949627,
16,https://nexus.dell.com/dell/marketing/code/aacee4ffdb47ac5f6c1eeeab848814e3.js?conditionId0=4948893,
17,https://nexus.dell.com/dell/marketing/code/dbd47d5b86d804fa93f306424dc57d52.js?conditionId0=4949622,
18,https://nexus.dell.com/dell/marketing/code/44e4ae1d22fca80b834be8dc92531a05.js?conditionId0=4940888,
19,https://nexus.dell.com/dell/marketing/code/ea190d8c84a8e0b07ea5de8266a37c45.js?conditionId0=4944454,
20,https://nexus.dell.com/dell/marketing/code/b04224946093f87f201039367d7987d0.js?conditionId0=4948879,
21,https://nexus.dell.com/dell/marketing/code/bc589e2146f1d6ed18205422bcfa6dc1.js?conditionId0=4948232,
22,https://nexus.dell.com/dell/marketing/code/aabcd0577681bd5a6a9e73359ca564b4.js?conditionId0=4936090,
23,https://nexus.dell.com/dell/marketing/code/ece4dd0204da5295626c7d377d2fe279.js?conditionId0=4945494,
24,https://nexus.dell.com/dell/stpfooter/code/90efb27a9c9171f28932f5fe2df59598.js?conditionId0=4858356,
25,https://nexus.dell.com/dell/stpfooter/serverComponent.php?namespace=Bootstrapper&staticJsPath=nexus.dell.com/dell/stpfooter/code/&publishedOn=Wed%20Jun%2028%2014:42:26%20GMT%202023&ClientID=123&PageID=https%3A%2F%2Fwww.dell.com%2Fen-pk%3Fcountry%3Dpk%26language%3Den%26segment%3Dgen%26cset%3Dpkcorp1%26cms%3Dstp-datalayer%26bcvideo%3Dundefined,
26,https://www.dell.com/cdn/assets/tnt/adobebundle/shop/bundle_toggle.min.js,60a906133ae37143f517c84f5d98b6.js
27,https://www.dell.com/akam/13/757bb42a,
28,https://www.dell.com/cdn/assets/shop/scripts/global-bundle.min.7c6a48954db5f3906d140c6739a74582.js,2e9f03f0a634d132f9f3d052257d9d.js
29,https://www.dell.com/cdn/assets/csb/unifiedmasthead/bundles/1.0.1.11482/js/mastheadscripts-stp-ooc-non-commerce.min.js,
30,https://www.dell.com/cdn/assets/csb/homepage/bundles/1.0.1.17496/js/siteconverged.min.js,
31,https://www.dell.com/cdn/assets/boomerang/latest/boomerang-csb-full.min.js,4330807f61618194d3f32c2d067e65.js
32,https://nexus.dell.com/dell/stpfooter/Bootstrap.js?v=10,
33,https://nexus.dell.com/dell/marketing/Bootstrap.js,bbc390aa870b92bdfcc55508e3af49.js
34,https://www.dell.com/cdn/assets/csb/unified-comm/bundles/1.0.0.5322/js/unified-communication-stp-init-min.js,b1ab99109fb89b9796cfa438be3da4.js
