,JS Source,JS NAME
0,https://s.pinimg.com/ct/lib/main.14eb2ef4.js,b01d432bc55dc38765e4e43d0f9b9a.js
1,https://web.btncdn.com/v1/button.js,25a648c5d8858d9ede8acb4c08a7bd.js
2,https://s.pinimg.com/ct/core.js,45282129c8e7b72fa0da1b75fcd736.js
3,https://bat.bing.com/bat.js,3d748781a6dc7d3af07d3d5a2bd4e7.js
4,https://www.googletagmanager.com/gtag/js?id=G-KR3J610VYM&l=dataLayer&cx=c,
5,https://www.google-analytics.com/analytics.js,96433491a7989136422f2b23377fb7.js
6,https://www.googletagmanager.com/gtm.js?id=GTM-KWW5SS,
7,https://www.etsy.com/ac/primaryVendor/js/en-GB/async/common-entrypoints/auto/bootstrap/category-nav/v2/mobile/nav.6a5fbc66fddca3315f44.js,
8,https://www.googleadservices.com/pagead/conversion/658194373/?random=1687866755648&cv=11&fst=1687866755648&bg=ffffff&guid=ON&async=1&gtm=45He36q0&u_w=360&u_h=640&url=https%3A%2F%2Fwww.etsy.com%2F&label=XwNfCLSf5dkDEMX_7LkC&hn=www.googleadservices.com&frm=0&tiba=Etsy%20Pakistan%20-%20Shop%20for%20handmade%2C%20vintage%2C%20custom%2C%20and%20unique%20gifts%20for%20everyone&value=0&bttype=purchase&auid=891284518.1687866756&uaa=x86&uab=64&uafvl=Not_A%2520Brand%3B99.0.0.0%7CGoogle%2520Chrome%3B109.0.5414.119%7CChromium%3B109.0.5414.119&uamb=0&uap=Linux&uapv=5.15.0&uaw=0&rfmt=3&fmt=4,
9,https://googleads.g.doubleclick.net/pagead/viewthroughconversion/1001213127/?random=1687866755668&cv=11&fst=1687866755668&bg=ffffff&guid=ON&async=1&gtm=45He36q0&u_w=360&u_h=640&url=https%3A%2F%2Fwww.etsy.com%2F&hn=www.googleadservices.com&frm=0&tiba=Etsy%20Pakistan%20-%20Shop%20for%20handmade%2C%20vintage%2C%20custom%2C%20and%20unique%20gifts%20for%20everyone&auid=891284518.1687866756&uaa=x86&uab=64&uafvl=Not_A%2520Brand%3B99.0.0.0%7CGoogle%2520Chrome%3B109.0.5414.119%7CChromium%3B109.0.5414.119&uamb=0&uap=Linux&uapv=5.15.0&uaw=0&data=ecomm_prodid%3D%3Becomm_pagetype%3Dhome%3Becomm_totalvalue%3D%3Becomm_rec_prodid%3D%3Becomm_category%3D%3Becomm_pvalue%3D%3Becomm_quantity%3D%3Ba%3D%3Bg%3D%3Bhasaccount%3Dfalse%3Bcqs%3D%3Brp%3D%3Bly%3D%3Bhs%3D%3B_google_crm_id%3D&rfmt=3&fmt=4,
10,https://resources.xg4ken.com/js/v2/ktag.js?tid=KT-N3E88-3EB,
11,https://bat.bing.com/p/action/20013160.js,
12,https://www.etsy.com/ac/primaryVendor/js/en-GB/async/common-entrypoints/auto/app-shell/footer/deferred.b30a4b59d2c3a43b705c.js,
13,https://js.sentry-cdn.com/ba12d66291e647788d8a9f0878043603.min.js,
14,https://www.etsy.com/paula/v3/polyfill.min.js?etsy-v=v5&flags=gated&features=AbortController%2CDOMTokenList.prototype.@@iterator%2CDOMTokenList.prototype.forEach%2CIntersectionObserver%2CIntersectionObserverEntry%2CNodeList.prototype.@@iterator%2CNodeList.prototype.forEach%2CObject.preventExtensions%2CString.prototype.anchor%2CString.raw%2Cdefault%2Ces2015%2Ces2016%2Ces2017%2Ces2018%2Ces2019%2Ces2020%2Ces2021%2Ces2022%2Cfetch%2CgetComputedStyle%2CmatchMedia%2Cperformance.now,
15,https://www.etsy.com/ac/primaryVendor/js/en-GB/vendor_bundle.64cb8e52463392acd3b6.js,
16,https://www.etsy.com/ac/primaryVendor/js/en-GB/app-shell/globals/index.8074a47b901b9fdf7172.js,
17,https://www.etsy.com/ac/primaryVendor/js/en-GB/footer/country-picker.77ef37ae21ef478dd82a.js,
18,https://www.etsy.com/ac/primaryVendor/js/en-GB/vesta_homepage/bootstrap.8b6742dacf585994ce66.js,
19,https://www.dwin1.com/6220.js,4b68160ec2e42ababd7043469a3f8c.js
