,JS Source,JS NAME
0,https://static.hotjar.com/c/hotjar-3279922.js?sv=7,
1,https://www.google-analytics.com/analytics.js,1b98101171de8d6d38b228bb77ff0c.js
2,https://www.googletagmanager.com/gtag/js?id=G-QFGG4THJR2&l=dataLayer&cx=c,
3,https://www.googletagmanager.com/gtm.js?id=GTM-PC5QDXT,
4,https://securepubads.g.doubleclick.net/tag/js/gpt.js,7cea2cf07ce6b9e781f2d93f51ac68.js
5,https://resources.faireconomy.media/js.min/resources/js/money/moneyslotmanager.js?_v=1676910733,
6,https://resources.faireconomy.media/js.min/resources/js/mds/components/scanner/mds-scanner-table.js?_v=1663599130,
7,https://resources.faireconomy.media/ts/dist/mini-chart-production.js?_v=1668704104,
8,https://resources.faireconomy.media/js.min/resources/js/mds/components/scanner/mds-scanner-header.js?_v=1676910733,
9,https://resources.faireconomy.media/js.min/resources/js/mds/components/scanner/mds-scanner-body.js?_v=1668704029,
10,https://resources.faireconomy.media/js.min/resources/js/mds/components/scanner/mds-scanner-metrics-table.js?_v=1682449101,
11,https://resources.faireconomy.media/js.min/resources/js/mds/components/scanner/mds-scanner-data-table.js?_v=1677603244,
12,https://resources.faireconomy.media/js.min/resources/js/mds/components/scanner/mds-scanner-data-quote.js?_v=1609282700,
13,https://resources.faireconomy.media/js.min/resources/js/mds/components/scanner/mds-scanner-data-closed-alert.js?_v=1609282700,
14,https://resources.faireconomy.media/js.min/resources/js/mds/components/scanner/mds-scanner-data-spread.js?_v=1609282700,
15,https://resources.faireconomy.media/js.min/resources/js/mds/components/scanner/mds-scanner-data-pipchange.js?_v=1609282700,
16,https://resources.faireconomy.media/js.min/resources/js/mds/components/scanner/mds-scanner-data-netchange.js?_v=1660151769,
17,https://resources.faireconomy.media/js.min/resources/js/mds/components/scanner/mds-scanner-data-percentchange.js?_v=1609282700,
18,https://resources.faireconomy.media/js.min/resources/js/mds/components/scanner/mds-scanner-data-highlow.js?_v=1609282700,
19,https://resources.faireconomy.media/js.min/resources/js/mds/components/scanner/mds-scanner-data-chart.js?_v=1663599130,
20,https://resources.faireconomy.media/js.min/resources/js//mds/modules/mds_scanner_module.js?_v=1663599130,
21,https://resources.faireconomy.media/js.min/resources/js/mds/mds_scanner.js?_v=1668704029,
22,https://securepubads.g.doubleclick.net/pagead/managed/js/gpt/m202307110101/pubads_impl.js?cb=31076035,
23,https://script.hotjar.com/modules.5957fbf26d1b525b5a12.js,809499dd3f06c628998587043cef11.js
24,https://resources.faireconomy.media/ts/dist/alerts-production.js?_v=1683911011,
25,https://resources.faireconomy.media/ts/dist/cgs-production.js?_v=1682100041,
26,https://resources.faireconomy.media/ts/dist/sessions-production.js?_v=1680103249,
27,https://assets.faireconomy.media/clientscript/jquery.min.js,3a191482a245d82c164d9816802c30.js
28,https://resources.faireconomy.media/ts/dist/common-production.js?_v=1683911006,
29,https://resources.faireconomy.media/js.min/resources/js/site.js?_v=1609282702,
30,https://resources.faireconomy.media/js.min/resources/js/color.js?_v=1609282698,
31,https://resources.faireconomy.media/js.min/resources/js/global.js?_v=1683910949,
32,https://assets.faireconomy.media/resources/js.min/clientscript/ffsettings.js?_v=1683910949,
33,https://resources.faireconomy.media/js.min/resources/js/pagearrange.js?_v=1683910949,
34,https://resources.faireconomy.media/js.min/resources/js/icw-bridge.js?_v=1633116126,
35,https://assets.faireconomy.media/resources/js.min/clientscript/flex.js?_v=1678909271,
36,https://assets.faireconomy.media/resources/js.min/clientscript/quicksearch.js?_v=1681846190,
37,https://resources.faireconomy.media/js.min/resources/js/slide_table.js?_v=1681228708,
38,https://resources.faireconomy.media/js.min/resources/js/hidden_options.js?_v=1668704029,
39,https://resources.faireconomy.media/js.min/resources/js/sidebar.js?_v=1668704030,
40,https://resources.faireconomy.media/js.min/resources/js/ff_util.js?_v=1678303334,
41,https://resources.faireconomy.media/js.min/resources/js/phrase_editor.js?_v=1609282702,
42,https://resources.faireconomy.media/js.min/resources/js/web-components/simple-modal.js?_v=1682449101,
43,https://resources.faireconomy.media/js.min/resources/js/fader.js?_v=1612542361,
44,https://resources.faireconomy.media/js.min/resources/js/vue.min.js?_v=1648665677,
45,https://resources.faireconomy.media/js.min/resources/js/vuex.min.js?_v=1648665677,
46,https://resources.faireconomy.media/js.min/resources/js/app/data_store.js?_v=1668704029,
47,https://resources.faireconomy.media/js.min/resources/js/idletimer.js?_v=1668704029,
48,https://resources.faireconomy.media/js.min/resources/js/web-components/alert-simple-modal.js?_v=1632853059,
49,https://resources.faireconomy.media/js.min/resources/js/deferred_javascript.js?_v=1676306406,
50,https://resources.faireconomy.media/js.min/resources/js/date_formatter.js?_v=1662576814,
51,https://resources.faireconomy.media/ts/dist/time-zone-production.js?_v=1687198427,
52,https://assets.faireconomy.media/resources/js.min/clientscript/tooltip.js?_v=1683910949,
53,https://resources.faireconomy.media/js.min/resources/js/websocket.js?_v=1609282702,
54,https://resources.faireconomy.media/js.min/resources/js/deflate-js.min.js?_v=1609282698,
55,https://resources.faireconomy.media/js.min/resources/js/timers.js?_v=1609282702,
56,https://resources.faireconomy.media/js.min/resources/js/date_formatter.js?_v=1662576814,
57,https://resources.faireconomy.media/js.min/resources/js/mds/mds.js?_v=1660151769,
58,https://resources.faireconomy.media/js.min/resources/js/mds/mds_api.js?_v=1670002556,
