Final Name,Image Name,Image Source,Original Size (KB),Location,Area,ByteSSIM,Final Size (KB),Worst Size (KB),Worst SSIM,Worst Resolution,SSIM,Weighted Sum,Resolution Percentage
reduced_ac86841f42a75cd0.png,ac86841f42a75cd0.png,https://m.360buyimg.com/babel/jfs/t1/53202/29/23281/117684/63b4149dF2beb8956/ac86841f42a75cd0.png,114.92578125,0.2235294117647059,0.16054108290906388,0.5487193028782676,213.9912109375,107.529296875,1.0,40,1.0,0.7092603857873315,1.0
reduced_0c0aed67c7ed0011.png,0c0aed67c7ed0011.png,https://img12.360buyimg.com/imagetools/jfs/t1/120455/21/32606/1186/63aa9fb8Fc7d267b1/0c0aed67c7ed0011.png,1.158203125,0.31491712707182323,0.0045152179568174215,1.0,1.455078125,1.158203125,1.0,100,1.0,1.0045152179568175,1.0
reduced_46cbe614556fc49b.png,46cbe614556fc49b.png,https://img14.360buyimg.com/imagetools/jfs/t1/174674/5/27511/1212/63aa9f63F2349dcff/46cbe614556fc49b.png,1.18359375,0.31491712707182323,0.0045152179568174215,1.0,1.4658203125,1.18359375,1.0,100,1.0,1.0045152179568175,1.0
reduced_7c8e8d4fe0b7702d.jpg!q70.dpg,7c8e8d4fe0b7702d.jpg!q70.dpg,https://m.360buyimg.com/babel/jfs/t1/112038/16/36967/57157/647d4e24F45da221a/7c8e8d4fe0b7702d.jpg!q70.dpg,62.7548828125,0.10667498440424206,0.08361514734847077,1.0,17.1259765625,62.7548828125,1.0,100,0.9121719590902491,1.0836151473484708,4.0
reduced_140bb2f365737a19.jpg!q70.dpg,140bb2f365737a19.jpg!q70.dpg,https://m.360buyimg.com/babel/jfs/t1/145458/39/36546/66155/6497e2b2Fbac30122/140bb2f365737a19.jpg!q70.dpg,88.0078125,0.08778234086242301,0.08361514734847077,1.0,22.2158203125,88.0078125,1.0,100,0.9014598339908235,1.0836151473484708,7.0
reduced_f9ad24694710eb71.jpg!q70.dpg,f9ad24694710eb71.jpg!q70.dpg,https://m.360buyimg.com/babel/jfs/t1/109339/30/41705/136633/64979f09F2c2c9a61/f9ad24694710eb71.jpg!q70.dpg,133.1796875,0.08778234086242301,0.08361514734847077,1.0,46.087890625,133.1796875,1.0,100,0.9041894087233032,1.0836151473484708,15.0
reduced_94611666e48d20c9.jpg!q70.dpg,94611666e48d20c9.jpg!q70.dpg,https://m.360buyimg.com/babel/jfs/t1/193479/36/32128/150116/63f97c62F3b8d388d/94611666e48d20c9.jpg!q70.dpg,110.5615234375,0.08778234086242301,0.08361514734847077,1.0,74.90234375,110.5615234375,1.0,100,0.9033645390137379,1.0836151473484708,41.0
reduced_5f65e1aae5850865.jpg!q70.dpg,5f65e1aae5850865.jpg!q70.dpg,https://m.360buyimg.com/babel/jfs/t1/137810/28/39315/97569/649b84e5Fb20f29de/5f65e1aae5850865.jpg!q70.dpg,98.173828125,0.08778234086242301,0.08361514734847077,1.0,31.76953125,98.173828125,1.0,100,0.9042935737231143,1.0836151473484708,12.0
reduced_621723c5811efb61.jpg!q70.dpg,621723c5811efb61.jpg!q70.dpg,https://m.360buyimg.com/babel/jfs/t1/203344/20/37760/99151/6492814cFfd2d02c7/621723c5811efb61.jpg!q70.dpg,83.099609375,0.07457479284779765,0.08361514734847077,1.0,20.7041015625,83.099609375,1.0,100,0.9035825775876197,1.0836151473484708,10.0
reduced_d1b67dc90fd194b2.jpg!q70.dpg,d1b67dc90fd194b2.jpg!q70.dpg,https://m.360buyimg.com/babel/jfs/t1/119954/19/33092/227711/6492a00eF722f4ad7/d1b67dc90fd194b2.jpg!q70.dpg,147.1591796875,0.07457479284779765,0.08361514734847077,1.0,109.220703125,147.1591796875,1.0,100,0.9030374894236093,1.0836151473484708,42.0
