,JS Source,JS NAME
0,https://www.clarity.ms/s/0.7.8/clarity.js,
1,https://www.clarity.ms/tag/uet/4000034,
2,https://bat.bing.com/bat.js,
3,https://d.impactradius-event.com/A1143126-787b-4983-ad6f-e804972459e91.js,
4,https://www.microsoft.com/etc.clientlibs/cascade.component.authoring/clientlibs/clientlib-jquery.min.ACSHASH35986a813756f39ab6b922979ffedb03.js,
5,https://www.microsoft.com/etc.clientlibs/cascade.component.authoring/clientlibs/clientlib-jquery-cookie.min.ACSHASH20aafdf6904d3dc5db0e0e33abbfc1a4.js,
6,https://www.microsoft.com/etc.clientlibs/microsoft/clientlibs/exp-analytics/v1.min.ACSHASH4cffc2c9b55f8bde649e0d2535a1eebd.js,aaaab9943a5938d01a133bb493df34.js
7,https://www.microsoft.com/etc.clientlibs/microsoft/clientlibs/exp-cookiecomp/v1.min.ACSHASH977ab2732aa8cb654ccd4e6e2d620326.js,
8,https://www.microsoft.com/etc.clientlibs/microsoft/components/structure/page/clientlibs/visitor.ACSHASH30368a72d017e4133bfd3b5d073d06ff.min.js,df3c231b4437a4318082efd8e6ed59.js
9,https://www.microsoft.com/etc.clientlibs/microsoft/components/structure/page/clientlibs/experimentation.ACSHASH895e2a12062f1ee44d7d72d266904bde.min.js,28c5e4322776c708f9053467dde31d.js
10,https://js.monitor.azure.com/scripts/c/ms.shared.analytics.mectrl-3.2.7.gbl.min.js,8f5829c4b53c3822490bbaad372058.js
11,https://mem.gfx.ms/scripts/me/MeControl/10.23145.1/en-US/meBoot.min.js,185b752e58077610d57068fbe9facb.js
12,https://mem.gfx.ms/scripts/me/MeControl/10.23145.1/en-US/meCore.min.js,
13,https://cdnssl.clicktale.net/ptc/05d32363-d534-4d93-9b65-cde674775e71.js,
14,https://www.googletagmanager.com/gtag/js?id=923371515,
15,https://bat.bing.com/p/action/4000034.js,
16,https://www.microsoft.com/etc.clientlibs/microsoft/components/content/universalheader/v1/universalheader/clientlibs/site.min.ACSHASH6e7f9ccecc9dac2c400eee4073992860.js,
17,https://www.microsoft.com/etc.clientlibs/microsoft/components/content/highlight/v1/highlight/clientlibs/site.min.ACSHASHfdce93784b5d38eb406ce1ee85d5ce0f.js,ba01103e7d078c9c8adb26d2ce9fd2.js
18,https://www.microsoft.com/etc.clientlibs/microsoft/components/content/highlightcarousel/v1/highlightcarousel/clientlibs/site.min.ACSHASHaa6f4b31b1ec3a6ac9d773e649688947.js,edc9debe41348e5d79fa1dc4d9d00a.js
19,https://www.microsoft.com/etc.clientlibs/cascade.component.authoring/clientlibs/clientlib-base.min.ACSHASH0e2574a8694a512c0221274dd1d8555d.js,
20,https://www.microsoft.com/etc.clientlibs/microsoft/components/content/content-card/v1/content-card/clientlibs/site.min.ACSHASHeb1d4b46ab498ba349a97e53a9644534.js,1bf8eba14a925647a687aa7047fbc6.js
21,https://www.microsoft.com/etc.clientlibs/microsoft/components/content/content-card-item/v1/content-card-item/clientlibs/site.min.ACSHASHd41d8cd98f00b204e9800998ecf8427e.js,e945756306ecd791514f4bb231eab7.js
22,https://www.microsoft.com/etc.clientlibs/microsoft/components/content/content-card-item/v1/content-card-item/clientlibs/site.min.ACSHASHd41d8cd98f00b204e9800998ecf8427e.js,
23,https://www.microsoft.com/etc.clientlibs/microsoft/components/content/content-card-item/v1/content-card-item/clientlibs/site.min.ACSHASHd41d8cd98f00b204e9800998ecf8427e.js,
24,https://www.microsoft.com/etc.clientlibs/microsoft/components/content/content-card-item/v1/content-card-item/clientlibs/site.min.ACSHASHd41d8cd98f00b204e9800998ecf8427e.js,
25,https://www.microsoft.com/etc.clientlibs/microsoft/components/content/content-card/v1/content-card/clientlibs/site.min.ACSHASHeb1d4b46ab498ba349a97e53a9644534.js,
26,https://www.microsoft.com/etc.clientlibs/microsoft/components/content/content-card-item/v1/content-card-item/clientlibs/site.min.ACSHASHd41d8cd98f00b204e9800998ecf8427e.js,
27,https://www.microsoft.com/etc.clientlibs/microsoft/components/content/content-card-item/v1/content-card-item/clientlibs/site.min.ACSHASHd41d8cd98f00b204e9800998ecf8427e.js,
28,https://www.microsoft.com/etc.clientlibs/microsoft/components/content/content-card-item/v1/content-card-item/clientlibs/site.min.ACSHASHd41d8cd98f00b204e9800998ecf8427e.js,
29,https://www.microsoft.com/etc.clientlibs/microsoft/components/content/content-card-item/v1/content-card-item/clientlibs/site.min.ACSHASHd41d8cd98f00b204e9800998ecf8427e.js,
30,https://www.microsoft.com/etc.clientlibs/microsoft/components/content/back-to-top-button/v1/back-to-top-button/clientlibs/sites.min.ACSHASH48d949b834ed32dfd8266989e9dab912.js,da5962d0087beaa6c2a78f366582c8.js
31,https://wcpstatic.microsoft.com/mscc/lib/v2/wcp-consent.js,808bc18d5d4987fce65efa5dde81e4.js
32,https://www.microsoft.com/onerfstatics/marketingsites-eas-prod/shell/_scrf/js/themes=default/8e-e88b64/82-2a4f02/49-a00ab0/92-02e55d/7c-dcea75/75-fca72d/ed-e77ee7/d5-bf34c0/a9-078595/7a-7ea8cc/2d-40bdad/23-e8cd2b/96-eb5423/e6-6b0cce/d1-98d78a/c6-082272/a7-f7a340/1e-addbef/2e-ca165a/fc-169dd8/8e-60935c/87-fecbed/96-6ed6eb/c3-eb62e0/ad-ffd6bf/35-621acc/5b-6eff60/b0-07f293/1e-9d9d16/52-f0367f/af-abd754/bf-517249/e1-ed258e/20-0b10e2/6b-0f1117/fb-5e9831/a2-598841?ver=2.0&_cf=02242021_3231&iife=1,
33,https://mem.gfx.ms/meversion?partner=mshomepage&market=en-pk&uhf=1,
34,https://www.microsoft.com/etc.clientlibs/microsoft/clientlibs/clientlib-mwf-new/main-light.min.ACSHASHd7ee7ab2cc2816b1e373b8d621c075a7.js,
35,https://www.microsoft.com/etc.clientlibs/microsoft/clientlibs/clientlib-httpclient.min.ACSHASH479933b4431d2ebec5ac4c37bd1c2ced.js,
36,https://www.microsoft.com/etc.clientlibs/cascade.component.authoring/clientlibs/clientlib-cookieconsent.min.ACSHASH96f0c5b1219e39b8788028f5c17a5ad9.js,
37,https://www.microsoft.com/etc.clientlibs/microsoft/components/structure/page/clientlibs/embed-thirdparty.min.ACSHASHdf31c97130106cddb71542614a39c1bc.js,0832c60b327c06e6d6ffda9c22e1cd.js
38,https://www.microsoft.com/etc.clientlibs/microsoft/components/structure/page/clientlibs/featurecontrol.min.ACSHASHc22ea5b46f3fcad90da0abcc0a3f73d4.js,fe88113c36ec7fe50e6ab37e6ce4a8.js
39,https://www.microsoft.com/etc.clientlibs/microsoft/components/structure/page/clientlibs/custom-oneds.min.ACSHASH302899afe99a0d7d141369bbac458051.js,1e54b57f1096fcd1899612b94e8a59.js
40,https://www.microsoft.com/etc.clientlibs/cascade.component.authoring/clientlibs/clientlib-greenid.min.ACSHASH383b23d12df0d9265d7569a7102c2f96.js,
