Final Name,Image Name,Image Source,Original Size (KB),Location,Area,ByteSSIM,Final Size (KB),Worst Size (KB),Worst SSIM,Worst Resolution,SSIM,Weighted Sum,Resolution Percentage
reduced_a25543cabab7c610e4c76b5fbaa7e69d.jpeg,a25543cabab7c610e4c76b5fbaa7e69d.jpeg,https://pixlr.com/images/photomash-background-remover.jpg,232.03515625,1.0,0.24853801169590642,0.0,23.3408203125,9.7666015625,0.7955213724832675,0,0.8995217986034478,0.24853801169590642,18.5
0dc004355587651aed4009101cfa7090.webp,0dc004355587651aed4009101cfa7090.webp,https://pixlr.com/img/misc/ql-ai-image-generator.webp,6.412109375,0.32259396943411817,0.0,1.0,6.412109375,6.412109375,1.0,100,1.0,1.0,
b0f053051a5ae54cd9f367a07fca4549.webp,b0f053051a5ae54cd9f367a07fca4549.webp,https://pixlr.com/img/misc/ql-remove-bg.webp,4.423828125,0.32259396943411817,0.0,1.0,4.423828125,4.423828125,1.0,100,1.0,1.0,
6fb8215db6e0fddb8c33ee0e5978a5cd.webp,6fb8215db6e0fddb8c33ee0e5978a5cd.webp,https://pixlr.com/img/misc/ql-remove-object.webp,5.375,0.32259396943411817,0.0,1.0,5.375,5.375,1.0,100,1.0,1.0,
039b40b39de2a426430941d903957c2a.webp,039b40b39de2a426430941d903957c2a.webp,https://pixlr.com/img/misc/ql-collage-maker.webp,4.962890625,0.32259396943411817,0.0,1.0,4.962890625,4.962890625,1.0,100,1.0,1.0,
1d9774c226793b39ae878cde7238e9d3.webp,1d9774c226793b39ae878cde7238e9d3.webp,https://pixlr.com/img/misc/ql-crop-image.webp,3.998046875,0.32259396943411817,0.0,1.0,3.998046875,3.998046875,1.0,100,1.0,1.0,
a59b70f1ae3aee64c50fbebc41401278.webp,a59b70f1ae3aee64c50fbebc41401278.webp,https://pixlr.com/img/misc/ql-templates.webp,10.080078125,0.32259396943411817,0.0,1.0,10.080078125,10.080078125,1.0,100,1.0,1.0,
9d57e0a839b99e71df6824bf18056b17.webp,9d57e0a839b99e71df6824bf18056b17.webp,https://img-cdn.pixlr.com/pixlr-templates/640838a60bfe8c2d29b340d3/thumbnail_medium.webp,22.11328125,0.32259396943411817,0.0,1.0,22.11328125,22.11328125,1.0,100,1.0,1.0,
7cc556e39ef969672543ebdfbc9abaad.webp,7cc556e39ef969672543ebdfbc9abaad.webp,https://pixlr.com/images/index/collage.webp,44.421875,0.32259396943411817,0.0,1.0,44.421875,44.421875,1.0,100,1.0,1.0,
dd10c40a5a3ba3585bb09a13f8a3a1f7.png,dd10c40a5a3ba3585bb09a13f8a3a1f7.png,https://pixlr.com/images/footer/dsn.png,1.9912109375,0.32259396943411817,0.010829542993285684,1.0,1.9912109375,1.9912109375,1.0,100,1.0,1.0108295429932856,
bb9ead6fadde1e167988a02a7a846720.png,bb9ead6fadde1e167988a02a7a846720.png,https://pixlr.com/images/footer/123rf.png,1.044921875,0.32259396943411817,0.01126272471301711,1.0,1.044921875,1.044921875,1.0,100,1.0,1.011262724713017,
5b7cad6b77d12d96bd029ba4383b35c5.png,5b7cad6b77d12d96bd029ba4383b35c5.png,https://pixlr.com/images/footer/inmagine.png,0.8134765625,0.32259396943411817,0.011371020142949967,1.0,0.8134765625,0.8134765625,1.0,100,1.0,1.01137102014295,
6f37a1ac911223696f783228f4add61d.webp,6f37a1ac911223696f783228f4add61d.webp,https://pixlr.com/images/index/remove-bg.webp,62.61328125,0.719815668202765,0.4012345679012346,1.0,62.61328125,62.61328125,1.0,100,1.0,1.4012345679012346,
124c731d4d76cd156648b5d37b713319.webp,124c731d4d76cd156648b5d37b713319.webp,https://pixlr.com/images/index/filter-effect.webp,48.51171875,0.5560697757208972,0.4012345679012346,1.0,48.51171875,48.51171875,1.0,100,1.0,1.4012345679012346,
844324a8d3ecf5b95926af1a623bf453.webp,844324a8d3ecf5b95926af1a623bf453.webp,https://pixlr.com/images/index/premium.webp,72.814453125,0.49856367698691356,1.0,1.0,72.814453125,72.814453125,1.0,100,1.0,2.0,
