Final Name,Image Name,Image Source,Original Size (KB),Location,Area,ByteSSIM,Final Size (KB),Worst Size (KB),Worst SSIM,Worst Resolution,SSIM
3947671581a536059221a29870594152.webp,3947671581a536059221a29870594152.webp,https://s1.wp.com/wp-content/themes/h4/landing/marketing/pages/hp-2022-oct/media/desktop/tablet-1-2x.webp,48.470703125,0.0383227771987493,169920,0.0,48.470703125,48.470703125,1.0,100,1
e0ee54576fe31aed370a479ad152a527.webp,e0ee54576fe31aed370a479ad152a527.webp,https://s1.wp.com/wp-content/themes/h4/landing/marketing/pages/hp-2022-oct/media/desktop/tablet-2-2x.webp,65.671875,0.0383227771987493,169920,0.0,65.671875,65.671875,1.0,100,1
f8401c6fe8f5901734da90f74d2c0899.webp,f8401c6fe8f5901734da90f74d2c0899.webp,https://s1.wp.com/wp-content/themes/h4/landing/marketing/pages/hp-2022-oct/media/desktop/tablet-3-2x.webp,76.5859375,0.0383227771987493,169920,0.0,76.5859375,76.5859375,1.0,100,1
8e76520b54810fb59506748916869b48.webp,8e76520b54810fb59506748916869b48.webp,https://s1.wp.com/wp-content/themes/h4/landing/marketing/pages/hp-2022-oct/media/desktop/tablet-4-2x.webp,101.509765625,0.0383227771987493,169920,0.0,101.509765625,101.509765625,1.0,100,1
d509d6e58cd2cc7bedd09f25e48e4734.webp,d509d6e58cd2cc7bedd09f25e48e4734.webp,https://s1.wp.com/wp-content/themes/h4/landing/marketing/pages/hp-2022-oct/media/desktop/tablet-5-2x.webp,116.27734375,0.0383227771987493,169920,0.0,116.27734375,116.27734375,1.0,100,1
885ad7e7c1f9c334cd001fca0f7b9911.webp,885ad7e7c1f9c334cd001fca0f7b9911.webp,https://s1.wp.com/wp-content/themes/h4/landing/marketing/pages/hp-2022-oct/media/desktop/tablet-7-2x.webp,42.0078125,0.0383227771987493,169920,0.0,42.0078125,42.0078125,1.0,100,1
537706929f665673cea1b86f42fc3c33.webp,537706929f665673cea1b86f42fc3c33.webp,https://s1.wp.com/wp-content/themes/h4/landing/marketing/pages/hp-2022-oct/media/desktop/theme-1-2x.webp,25.126953125,0.12915898340415297,40970,0.0,25.126953125,25.126953125,1.0,100,1
bc428a6ada6fab52c391a018b162c8bf.webp,bc428a6ada6fab52c391a018b162c8bf.webp,https://s1.wp.com/wp-content/themes/h4/landing/marketing/pages/hp-2022-oct/media/desktop/theme-4-2x.webp,30.830078125,0.12915898340415297,40970,0.0,30.830078125,30.830078125,1.0,100,1
72f62b2734597b5153eab4568cf5485a.webp,72f62b2734597b5153eab4568cf5485a.webp,https://s1.wp.com/wp-content/themes/h4/landing/marketing/pages/hp-2022-oct/media/desktop/theme-8-2x.webp,22.80078125,0.17245249739437185,40970,0.0,22.80078125,22.80078125,1.0,100,1
3e4306de1d942390ed6f61fe09962d56.webp,3e4306de1d942390ed6f61fe09962d56.webp,https://s1.wp.com/wp-content/themes/h4/landing/marketing/pages/hp-2022-oct/media/desktop/theme-2-2x.webp,23.5703125,0.14359015473422593,40970,0.0,23.5703125,23.5703125,1.0,100,1
