Final Name,Image Name,Image Source,Original Size (KB),Location,Area,ByteSSIM,Final Size (KB),Worst Size (KB),Worst SSIM,Worst Resolution,SSIM,Weighted Sum
yahoo.png,yahoo.png,https://s.yimg.com/rz/p/yahoo.png,6.796875,0.02057522123893805,0.0,0.3483850736908122,6.796875,3.6826171875,1.0,10,1,0.3483850736908122
b6a327b390422789ef4e0a818e42619d.cf.webp,b6a327b390422789ef4e0a818e42619d.cf.webp,https://s.yimg.com/uu/api/res/1.2/PMKWTnj7mezHoBbOsVz4jQ--~B/Zmk9c3RyaW07aD00MzI7cT04MDt3PTc2ODthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/nbc_news_122/b6a327b390422789ef4e0a818e42619d.cf.webp,36.9873046875,1.0,0.0,1.0,36.9873046875,36.9873046875,1.0,100,1,1.0
1681337474491-7853.jpg.cf.webp,1681337474491-7853.jpg.cf.webp,https://s.yimg.com/uu/api/res/1.2/l0TP7fKpn2c0s6dTdh135w--~B/Zmk9c3RyaW07aD0zOTI7dz03NTA7YXBwaWQ9eXRhY2h5b24-/https://s.yimg.com/av/ads/1681337474491-7853.jpg.cf.webp,82.3916015625,0.02057522123893805,0.0,1.0,82.3916015625,82.3916015625,1.0,100,1,1.0
7c2b37ce7816be6c1db63303d296b493.cf.webp,7c2b37ce7816be6c1db63303d296b493.cf.webp,https://s.yimg.com/uu/api/res/1.2/qHLrxS5nBMRXvItdXyDx_A--~B/Zmk9c3RyaW07aD00MzI7cT04MDt3PTc2ODthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/cnn_articles_875/7c2b37ce7816be6c1db63303d296b493.cf.webp,48.1875,1.0,0.0,1.0,48.1875,48.1875,1.0,100,1,1.0
4796b560-1520-11ee-bdfd-838a81cbe1e4.cf.webp,4796b560-1520-11ee-bdfd-838a81cbe1e4.cf.webp,https://s.yimg.com/uu/api/res/1.2/DWS_6OicvGFW8aBQHoG63Q--~B/Zmk9c3RyaW07aD00MzI7cT04MDt3PTc2ODthcHBpZD15dGFjaHlvbg--/https://s.yimg.com/os/creatr-uploaded-images/2023-06/4796b560-1520-11ee-bdfd-838a81cbe1e4.cf.webp,82.765625,1.0,0.0,1.0,82.765625,82.765625,1.0,100,1,1.0
f53467a0-15aa-11ee-8ebb-8330264319ce.cf.webp,f53467a0-15aa-11ee-8ebb-8330264319ce.cf.webp,https://s.yimg.com/uu/api/res/1.2/lUens_10Jj3AljmhXEjgyQ--~B/Zmk9c3RyaW07aD00MzI7cT04MDt3PTc2ODthcHBpZD15dGFjaHlvbg--/https://s.yimg.com/os/creatr-uploaded-images/2023-06/f53467a0-15aa-11ee-8ebb-8330264319ce.cf.webp,47.572265625,1.0,0.0,1.0,47.572265625,47.572265625,1.0,100,1,1.0
8c5826c0-1548-11ee-b7df-f9ef6e61ee9b.cf.webp,8c5826c0-1548-11ee-b7df-f9ef6e61ee9b.cf.webp,https://s.yimg.com/uu/api/res/1.2/BfjOWJyDxlgGKTPWZV0iQA--~B/Zmk9c3RyaW07aD00MzI7cT04MDt3PTc2ODthcHBpZD15dGFjaHlvbg--/https://s.yimg.com/os/creatr-uploaded-images/2023-06/8c5826c0-1548-11ee-b7df-f9ef6e61ee9b.cf.webp,74.9453125,1.0,0.0,1.0,74.9453125,74.9453125,1.0,100,1,1.0
2b71d930-1581-11ee-a9f5-4ec03601fbb7.cf.webp,2b71d930-1581-11ee-a9f5-4ec03601fbb7.cf.webp,https://s.yimg.com/uu/api/res/1.2/oU0QZLoGVg0hIdEPdeNsmQ--~B/Zmk9c3RyaW07aD00MzI7cT04MDt3PTc2ODthcHBpZD15dGFjaHlvbg--/https://s.yimg.com/os/creatr-uploaded-images/2023-06/2b71d930-1581-11ee-a9f5-4ec03601fbb7.cf.webp,63.63671875,1.0,0.0,1.0,63.63671875,63.63671875,1.0,100,1,1.0
900dcf00-1538-11ee-975d-b02d0a055add.cf.webp,900dcf00-1538-11ee-975d-b02d0a055add.cf.webp,https://s.yimg.com/uu/api/res/1.2/xO5Ps5gga9yPg7MzweZzxw--~B/Zmk9c3RyaW07aD00MzI7cT04MDt3PTc2ODthcHBpZD15dGFjaHlvbg--/https://s.yimg.com/os/creatr-uploaded-images/2023-06/900dcf00-1538-11ee-975d-b02d0a055add.cf.webp,75.1103515625,1.0,0.0,1.0,75.1103515625,75.1103515625,1.0,100,1,1.0
yahoo_homepage_en-US_s_f_p_bestfit_homepage.png,yahoo_homepage_en-US_s_f_p_bestfit_homepage.png,https://s.yimg.com/rz/p/yahoo_homepage_en-US_s_f_p_bestfit_homepage.png,4.59375,0.020511689457432727,0.02069129538607896,1.0,4.59375,3.5087890625,1.0,0,1,1.020691295386079
1681337510622-8505.jpg.cf.webp,1681337510622-8505.jpg.cf.webp,https://s.yimg.com/uu/api/res/1.2/9GuuDECdBxs2541uAJ0tcw--~B/Zmk9c3RyaW07aD0xOTA7dz0xOTA7YXBwaWQ9eXRhY2h5b24-/https://s.yimg.com/av/ads/1681337510622-8505.jpg.cf.webp,22.6787109375,0.08882521489971346,0.04186816235928333,1.0,22.6787109375,22.6787109375,1.0,100,1,1.0418681623592834
b295e673b28ee6cd0ced491253e328d9.cf.webp,b295e673b28ee6cd0ced491253e328d9.cf.webp,https://s.yimg.com/uu/api/res/1.2/CnvMQ7Scv4ePcWeAE_HBYg--~B/Zmk9c3RyaW07aD0yMDA7cT04MDt3PTIwMDthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/good_housekeeping_561/b295e673b28ee6cd0ced491253e328d9.cf.webp,13.9375,0.023760858456821667,0.06342159505311559,1.0,13.9375,13.9375,1.0,100,1,1.0634215950531156
e7659d5f03fa480018364984d96e0a12.cf.webp,e7659d5f03fa480018364984d96e0a12.cf.webp,https://s.yimg.com/uu/api/res/1.2/cT9j1w_.bHkwzGPn_xNmKA--~B/Zmk9c3RyaW07aD0yMDA7cT04MDt3PTIwMDthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/people_218/e7659d5f03fa480018364984d96e0a12.cf.webp,15.3359375,0.024358302776322678,0.06342159505311559,1.0,15.3359375,15.3359375,1.0,100,1,1.0634215950531156
847a5ef2122ea24188c6f7296e682ba0.cf.webp,847a5ef2122ea24188c6f7296e682ba0.cf.webp,https://s.yimg.com/uu/api/res/1.2/PIaJ0aFg2PYx2na1AhY_cg--~B/Zmk9c3RyaW07aD0xMDA7cT05NTt3PTEwMDthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/yourtango_760/847a5ef2122ea24188c6f7296e682ba0.cf.webp,4.8330078125,0.019080837094788673,0.06342159505311559,1.0,4.8330078125,4.8330078125,1.0,100,1,1.0634215950531156
51f639b21489ae0bff4398bef4ae3741.cf.webp,51f639b21489ae0bff4398bef4ae3741.cf.webp,https://s.yimg.com/uu/api/res/1.2/pIh0cNl0FKoizpAd53V6Iw--~B/Zmk9c3RyaW07aD0yMDA7cT04MDt3PTIwMDthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/insider_articles_922/51f639b21489ae0bff4398bef4ae3741.cf.webp,12.833984375,0.02264978080857282,0.06342159505311559,1.0,12.833984375,12.833984375,1.0,100,1,1.0634215950531156
